sample,read_count,density,max_count,NZ_mean
B_R1,613959,0.210,2548,39.7
D_R1,675244,0.181,2163,50.8
G_R1,883607,0.358,5582,33.5
SRR4113427_1,5276737,0.652,3646,108.5
SRR4113428_1,3665609,0.676,2175,72.7
SRR4113429_1,7245502,0.565,4946,171.8
SRR4113430_1,14607073,0.648,1475430,302.3
SRR4113431_1,6556356,0.504,3374,174.5
SRR4113432_1,6666330,0.544,3940,164.2
SRR4113433_1,4136270,0.537,2262,103.3
SRR4113434_1,3980839,0.626,2734,85.3
SRR4113435_1,2315923,0.481,3343,64.5
SRR4113436_1,3356861,0.518,36237,86.8
SRR4113437_1,1212285,0.533,1347,30.5
SRR4113438_1,4640041,0.625,3569,99.5
SRR4113439_1,1320463,0.432,12350,41.0
SRR4113440_1,2223076,0.526,4121,56.6
bovis_combined_nonorm2.wig,883607,0.358,5582.0,33.5
bovis_combined_nonorm.wig,613959,0.210,2548.0,39.7
bovis_combined_TTR.wig,11052449,0.210,45869.3,714.1
