This workbook contains the RNA and protein values for all Identical/Variable genes in M. bovis AF2122/97 and M. tuberculosis H37Rv during exponential growth,,,,,,,,
,,,,,,,,
Gene,Gene pair,The identical/variable gene pair,,,,,,
,Rv tag,The M. tuberculosis H37Rv gene tag,,,,,,
,Mb tag,The M. bovis AF2122/97 gene tag,,,,,,
,Gene,The gene,,,,,,
,Annotation,Gene annotation,,,,,,
,Fxnal cat,Functional category to which the gene belongs,,,,,,
,Enzyme,Whether the gene product is involved in an enzymatic reaction,,,,,,
,Pathway,"Depending on ""Enzyme"", what pathway the gene product is involved in",,,,,,
,Theme,"Depending on ""Pathway"" what over all theme the pathway falls into",,,,,,
,Reaction,"Depending on ""Enzyme"" what reaction is catalysed",,,,,,
,Orthology,If the gene is identical/variable,,,,,,
RNA,TB TPM avg,"Average absolute expression values, transcripts per million (TPM) from n=6 M. tuberculosis H37Rv datasets (6hr, 24hr)",,,,,,
,Bov TPM avg,"Average absolute expression values, transcripts per million (TPM) from n=6 M. bovis AF2122/97 datasets (6hr, 24hr)",,,,,,
,log2FC ,Log2 fold change in relative expression at RNA level between the two species,,,,,,
,padj,Corrected P value for RNA log2FC,,,,,,
Protein,06hr_ctrl,"Log2 fold change in relative expression at protein level between the two species, 6hr",,,,,,
,pval06hr,"Corrected P value for protein log2FC, 6hr",,,,,,
,24hr_ctrl,"Log2 fold change in relative expression at protein level between the two species, 24hr",,,,,,
,pval24hr,"Corrected P value for protein log2FC, 24hr",,,,,,
,Avg,"Average log2 fold change in relative expression at protein level between the two species, 24hr",,,,,,
,,,,,,,,
,Sheets,,,,,,,
,1,All results,,,,,,
,2,All genes differentially expressed at the RNA level,,,,,,
,3,All genes differentially expressed at the RNA and protein level in M. bovis AF2122/97,,,,,,
,4,All genes differentially expressed at the RNA and protein level in M. tuberculosis H37Rv,,,,,,
,5,All genes differentially expressed at the protein level in M. bovis AF2122/97,,,,,,
,6,All genes differentially expressed at the protein level in M. tuberculosis H37Rv,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
