ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0001	 dnaA	ES	ES	ES	U
MB0002	 dnaN	NE	ES	ES	NE
MB0003	 recF	NE	NE	NE	U
MB0004	 -	ES	ES	ES	U
MB0005	 gyrB	ES	ES	NE	ES
MB0006	 gyrA	GD	ES	ES	U
MB0007	 -	GD	ES	NE	S
MB0008C	 -	NE	NE	NE	NE
MB0009	 ppiA	NE	NE	NE	NE
MB0010C	 -	NE	NE	NE	S
MB0011C	 -	NE	NE	NE	NE
MB0012	 -	GD	NE	NE	U
MB0013	 trpG	ES	ES	NE	ES
MB0014C	 pknB	ES	ES	ES	ES
MB0015C	 pknA	ES	ES	ES	U
MB0016C	 pbpA	NE	NE	NE	NE
MB0017C	 rodA	ES	NE	NE	U
MB0018C	 ppp	NE	AMB	NE	NE
MB0019C	 -	ES	NE	NE	U
MB0020C	 TB39.8	N/A	AMB	NE	S
MB0021C	 -	NE	NE	NE	NE
MB0022C	 whiB5	ES	NE	NE	U
MB0023	 -	NE	ES	NE	NE
MB0024	 -	NE	NE	NE	S
MB0025	 -	NE	NE	NE	NE
MB0026	 -	NE	NE	NE	NE
MB0027	 -	NE	NE	NE	NE
MB0028	 -	NE	NE	NE	NE
MB0029	 -	NE	NE	NE	NE
MB0030	 -	NE	NE	NE	NE
MB0031	 -	NE	NE	NE	S
MB0032	 -	NE	NE	NE	NE
MB0033	 bioF2	NE	NE	NE	S
MB0034	 acpA	NE	NE	NE	S
MB0035	 -	NE	NE	NE	U
MB0036	 fadD34	NE	NE	NE	NE
MB0037C	 -	NE	NE	NE	NE
MB0038C	 -	NE	NE	NE	NE
MB0039	 -	NE	NE	NE	NE
MB0040C	 -	NE	NE	NE	NE
MB0041C	 mtc28	ES	NE	NE	U
MB0042	 leuS	NE	ES	ES	NE
MB0043C	 -	NE	NE	NE	NE
MB0044C	 -	NE	NE	NE	NE
MB0045C	 -	NE	NE	NE	NE
MB0046C	 -	ES	NE	NE	ES
MB0047C	 ino1	NE	AMB	ES	NE
MB0048C	 -	NE	NE	NE	NE
MB0049C	 -	NE	NE	NE	NE
MB0050	 -	NE	NE	NE	NE
MB0051	 ponA1	NE	NE	NE	NE
MB0052	 -	NE	NE	NE	NE
MB0053	 -	NE	NE	NE	U
MB0054	 rpsF	NE	AMB	ES	U
MB0055	 ssb	NE	ES	AMB	U
MB0056	 rpsR1	NE	ES	ES	U
MB0057	 rplI	NE	NE	NE	NE
MB0058	 -	ES	NE	NE	ES
MB0059	 dnaB	NE	ES	ES	NE
MB0060	 -	ES	NE	NE	ES
MB0061	 -	NE	NE	NE	NE
MB0062A	 len: 112 aa. Equivalent to Rv0061c len: 112 aa	NE	NE	NE	NE
MB0063	 celA1	NE	NE	NE	NE
MB0064	 -	NE	NE	NE	NE
MB0065	 -	NE	NE	NE	S
MB0065A	 len: 79 aa. Equivalent to Rv0064A len: 79 aa	NE	NE	NE	NE
MB0066	 -	NE	NE	NE	U
MB0067C	 icd2	NE	AMB	NE	NE
MB0068C	 -	NE	NE	NE	NE
MB0069	 -	NE	NE	NE	NE
MB0070C	 sdaA	NE	NE	NE	U
MB0071C	 glyA2	NE	NE	NE	NE
MB0072	 -	NE	NE	NE	NE
MB0073	 -	NE	NE	NE	NE
MB0074	 -	NE	NE	NE	S
MB0075	NA	NA	NE	NE	NA
MB0076	 -	NE	NE	NE	NE
MB0077	 -	NE	NE	NE	S
MB0078C	 -	NE	NE	NE	NE
MB0079C	 -	NE	NE	NE	NE
MB0080	 -	NE	NE	NE	NE
MB0081C	 -	NE	NE	NE	S
MB0081A	 len: 68 aa. Equivalent to Rv0078B len: 68 aa	NE	NE	NE	NE
MB0082	 -	NE	NE	NE	NE
MB0083	 -	NE	NE	NE	NE
MB0084	 -	NE	NE	NE	NE
MB0085	 -	NE	NE	NE	U
MB0086	 -	NE	NE	NE	U
MB0087	 hycD	NE	NE	NE	U
MB0088	 hycP	NE	ES	NE	U
MB0089	 hycQ	GD	NE	NE	U
MB0090	 hycE	GD	ES	NE	U
MB0091	 -	NE	NE	NE	NE
MB0092	 -	NE	NE	NE	NE
MB0093	 -	NE	NE	NE	NE
MB0094	 mtn	NE	NE	NE	NE
MB0095	 ctpA	NE	NE	NE	NE
MB0096C	 -	NE	NE	NE	NE
MB0097C	 -	NE	NE	NE	NE
MB0098C	 -	NE	NE	NE	NE
MB0099	 PPE1	NE	NE	NE	NE
MB0100	 -	NE	NE	NE	NE
MB0101	 -	NE	NE	NE	NE
MB0102	 fadD10	NE	NE	NE	S
MB0103	 -	NE	NE	NE	NE
MB0104	 nrp	ES	NE	NE	U
MB0105	 -	NE	ES	ES	NE
MB0106C	 ctpB	NE	NE	NE	NE
MB0107	 -	NE	NE	NE	S
MB0108C	 rpmB1	NE	NE	NE	NE
MB0109	 -	NE	NE	NE	NE
MB0111C	 ctpI	NE	NE	NE	S
MB0112C	 -	NE	NE	NE	U
MB0113	 PE_PGRS1	NE	NE	NE	NE
MB0114	 -	NE	NE	NE	NE
MB0115	 -	NE	NE	NE	NE
MB0116	 gca	NE	NE	NE	NE
MB0117	 gmhA	NE	NE	NE	NE
MB0118	 -	NE	NE	NE	NE
MB0119	 -	NE	NE	NE	NE
MB0120C	 -	NE	NE	NE	NE
MB0121	 oxyS	NE	NE	NE	U
MB0122C	 oxcA	NE	NE	NE	U
MB0123	 fadD7	ES	ES	ES	U
MB0124C	 fusA2b	NE	AMB	NE	S
MB0125C	 fusA2a	NE	NE	ES	NE
MB0126C	 -	GD	NE	NE	NE
MB0127	 -	GD	AMB	NE	U
MB0128	 -	NE	ES	ES	U
MB0129	 PE_PGRS2	NE	AMB	NE	NE
MB0130	 pepA	NE	NE	NE	NE
MB0131	 treS	NE	NE	NE	NE
MB0132	 -	NE	NE	NE	NE
MB0133	 -	NE	NE	NE	NE
MB0134C	 fbpC	NE	NE	NE	NE
MB0135	 -	NE	NE	NE	NE
MB0136C	 fadE1	NE	NE	NE	U
MB0137C	 fgd2	NE	NE	NE	NE
MB0138	 -	NE	NE	NE	S
MB0139-1	 -	NE	NE	NE	S
MB0139-2	 -	NE	NE	NE	NE
MB0139-3	 -	NE	NE	NE	S
MB0139-4	 -	NE	NE	NE	NE
MB0140C	 -	NE	NE	NE	NE
MB0141	 cyp138	NE	NE	NE	NE
MB0142C	 msrA	NE	NE	NE	NE
MB0143	 -	NE	NE	NE	NE
MB0144	 -	NE	NE	NE	NE
MB0145	 -	NE	NE	NE	NE
MB0146C	 -	NE	NE	NE	NE
MB0147	 -	NE	NE	NE	NE
MB0148C	 -	NE	NE	NE	NE
MB0149	 -	NE	NE	NE	NE
MB0150	 -	NE	NE	NE	NE
MB0151	 -	NE	NE	NE	NE
MB0152	 -	NE	NE	NE	NE
MB0153	 -	NE	NE	NE	NE
MB0154	 -	NE	NE	NE	U
MB0155C	 -	NE	NE	NE	NE
MB0156C	 PE1	NE	NE	NE	NE
MB0157C	 PE2	NE	NE	NE	NE
MB0158C	 ptbB	NE	NE	NE	NE
MB0159C	 fadE2	NE	NE	NE	NE
MB0160	 pntAa	N/A	NE	NE	S
MB0161	 pntAb	NE	NE	NE	NE
MB0162	 pntB	NE	NE	NE	S
MB0162A	 len: 42 aa. Equivalent to Rv0157A len: 42 aa	NE	NE	NE	NE
MB0163	 -	NE	NE	NE	NE
MB0164C	 PE3	NE	NE	NE	NE
MB0165C	 PE4	NE	NE	NE	NE
MB0166	 -	NE	NE	NE	NE
