bovis	mt	gene	v/i	mb_call	mt_call
Mb0001	Rv0001	dnaA	v	ES	ES
Mb0002	Rv0002	dnaN	v	NE	ES
Mb0003	Rv0003	recF	v	NE	NE
Mb0004	Rv0004		v	ES	NE
Mb0005	Rv0005	gyrB	v	ES	ES
Mb0006	Rv0006	gyrA	v	GD	ES
Mb0007	Rv0007		v	GD	NE
Mb0008c	Rv0008c		i	NE	NE
Mb0009	Rv0009	ppiA	i	NE	NE
Mb0010c	Rv0010c		v	NE	NE
Mb0011c	Rv0011c		i	NE	NE
Mb0012	Rv0012		v	GD	NE
Mb0013	Rv0013	trpG	v	ES	ES
Mb0014c	Rv0014c	pknB	i	ES	ES
Mb0015c	Rv0015c	pknA	i	ES	ES
Mb0016c	Rv0016c	pbpA	i	NE	NE
Mb0017c	Rv0017c	rodA	i	ES	NE
Mb0018c	Rv0018c	pstP	v	NE	NE
Mb0019c	Rv0019c	fhaB	i	ES	NE
Mb0020c	Rv0020c	fhaA	v	N/A	ES
Mb0021c	Rv0021c		v	NE	NE
Mb0022c	Rv0022c	whiB5	i	ES	NE
Mb0023	Rv0023		i	NE	GD
Mb0024	Rv0024		v	NE	NE
Mb0025	Rv0024		v	NE	NE
Mb0026	Rv0025		v	NE	NE
Mb0027	Rv0026		v	NE	NE
Mb0028	Rv0027		i	NE	NE
Mb0029	Rv0028		i	NE	NE
Mb0030	Rv0029		v	NE	NE
Mb0031	Rv0030		i	NE	NE
Mb0032	Rv0031		i	NE	N/A
Mb0033	Rv0032	bioF2	i	NE	NE
Mb0034	Rv0033	acpA	i	NE	NE
Mb0035	Rv0034		i	NE	NE
Mb0036	Rv0035	fadD34	i	NE	NE
Mb0037c	Rv0036c		i	NE	NE
Mb0038c	Rv0037c		i	NE	NE
Mb0039	Rv0038		i	NE	NE
Mb0040c	Rv0039c		v	NE	NE
Mb0041c	Rv0040c	mtc28	i	ES	NE
Mb0042	Rv0041	leuS	i	NE	ES
Mb0043c	Rv0042c		i	NE	NE
Mb0044c	Rv0043c		i	NE	NE
Mb0045c	Rv0044c		i	NE	NE
Mb0046c	Rv0045c		i	ES	NE
Mb0047c	Rv0046c	ino1	v	NE	ES
Mb0048c	Rv0047c		i	NE	NE
Mb0049c	Rv0048c		v	NE	NE
Mb0050	Rv0049		i	NE	NE
Mb0051	Rv0050	ponA1	v	NE	NE
Mb0052	Rv0051		i	NE	NE
Mb0053	Rv0052		i	NE	NE
Mb0054	Rv0053	rpsF	i	NE	NE
Mb0055	Rv0054	ssb	i	NE	ES
Mb0056	Rv0055	rpsR1	i	NE	ES
Mb0057	Rv0056	rplI	i	NE	NE
Mb0058	Rv0057		i	ES	NE
Mb0059	Rv0058	dnaB	v	NE	ES
Mb0060	Rv0059		i	ES	GA
Mb0061	Rv0060		i	NE	ES
Mb0062A	Rv0061c		i	NE	NE
Mb0063	Rv0062	celA1	v	NE	NE
Mb0064	Rv0063		i	NE	NE
Mb0065	Rv0064		v	NE	NE
Mb0065A	Rv0064A	vapB1	v	NE	NE
Mb0066	Rv0065	vapC1	i	NE	NE
Mb0067c	Rv0066c	icd2	v	NE	NE
Mb0068c	Rv0067c		i	NE	NE
Mb0069	Rv0068		v	NE	NE
Mb0070c	Rv0069c	sdaA	i	NE	NE
Mb0071c	Rv0070c	glyA2	v	NE	NE
Mb0072	Rv0071		v	NE	NE
Mb0073	Rv0072		i	NE	NE
Mb0076	Rv0074		i	NE	NE
Mb0077	Rv0075		i	NE	NE
Mb0078c	Rv0076c		i	NE	NE
Mb0079c	Rv0077c		i	NE	NE
Mb0081A	Rv0078B		i	NE	NE
Mb0081c	Rv0078A		i	NE	NE
Mb0082	Rv0079		i	NE	NE
Mb0084	Rv0081		i	NE	NE
Mb0085	Rv0082		i	NE	NE
Mb0087	Rv0084	hycD	i	NE	NE
Mb0088	Rv0085	hycP	i	NE	NE
Mb0091	Rv0088		i	NE	NE
Mb0092	Rv0089		i	NE	NE
Mb0093	Rv0090		i	NE	NE
Mb0094	Rv0091	mtn	i	NE	NE
Mb0100	Rv0097		i	NE	NE
Mb0101	Rv0098	fcoT	i	NE	NE
Mb0102	Rv0099	fadD10	i	NE	NE
Mb0103	Rv0100		i	NE	NE
Mb0104	Rv0101	nrp	i	ES	NE
Mb0105	Rv0102		i	NE	ES
Mb0108c	Rv0105c	rpmB1	i	NE	NE
Mb0109	Rv0106		i	NE	NE
Mb0112c	Rv0108c		i	NE	NE
Mb0114	Rv0110		i	NE	NE
Mb0115	Rv0111		i	NE	NE
Mb0116	Rv0112	gca	i	NE	NE
Mb0117	Rv0113	gmhA	i	NE	NE
Mb0120c	Rv0116c	ldtA	i	NE	NE
Mb0121	Rv0117	oxyS	i	NE	NE
Mb0123	Rv0119	fadD7	i	ES	NE
Mb0126c	Rv0121c		i	GD	NE
Mb0127	Rv0122		i	GD	NE
Mb0128	Rv0123		i	NE	NE
Mb0130	Rv0125	pepA	i	NE	NE
Mb0131	Rv0126	treS	i	NE	NE
Mb0133	Rv0128		i	NE	NE
Mb0134c	Rv0129c	fbpC	i	NE	NE
Mb0135	Rv0130	htdZ	i	NE	NE
Mb0136c	Rv0131c	fadE1	i	NE	NE
Mb0140c	Rv0135c		i	NE	NE
Mb0141	Rv0136	cyp138	i	NE	NE
Mb0142c	Rv0137c	msrA	i	NE	NE
Mb0145	Rv0140		i	NE	NE
Mb0146c	Rv0141c		i	NE	NE
Mb0147	Rv0142		i	NE	NE
Mb0149	Rv0144		i	NE	GA
Mb0150	Rv0145		i	NE	GA
Mb0151	Rv0146		i	NE	GA
Mb0152	Rv0147		i	NE	GA
Mb0153	Rv0148		i	NE	GA
Mb0154	Rv0149		i	NE	GA
Mb0155c	Rv0150c		i	NE	GA
Mb0157c	Rv0152c	PE2	i	NE	GA
Mb0159c	Rv0154c	fadE2	i	NE	GA
Mb0160	Rv0155	pntAa	i	N/A	GA
Mb0162	Rv0157	pntB	i	NE	GA
Mb0162A	Rv0157A		i	NE	GA
Mb0163	Rv0158		i	NE	GA
Mb0166	Rv0161		i	NE	NE
Mb0167c	Rv0162c	adhE1	i	NE	NE
Mb0168	Rv0163		i	NE	NE
Mb0169	Rv0164	TB18.5	i	NE	ES
Mb0173	Rv0167	yrbE1A	i	NE	NE
Mb0174	Rv0168	yrbE1B	i	NE	NE
Mb0178	Rv0172	mce1D	i	NE	NE
Mb0179	Rv0173	lprK	i	NE	NE
Mb0181	Rv0175		i	NE	NE
Mb0183	Rv0177		i	NE	NE
Mb0184	Rv0178		i	NE	NE
Mb0186c	Rv0180c		i	NE	NE
Mb0187c	Rv0181c		i	NE	NE
Mb0188c	Rv0182c	sigG	i	NE	NE
Mb0189	Rv0183		i	NE	NE
Mb0190	Rv0184		i	NE	NE
Mb0191	Rv0185		i	NE	NE
Mb0192A	Rv0186A	mymT	i	NE	NE
Mb0193	Rv0187		i	NE	NE
Mb0194	Rv0188		i	ES	NE
Mb0195c	Rv0189c	ilvD	i	NE	ES
Mb0196	Rv0190		i	NE	GA
Mb0197	Rv0191		i	NE	GA
Mb0201	Rv0195		i	NE	GA
Mb0202	Rv0196		i	NE	NE
Mb0204c	Rv0198c	zmp1	i	NE	NE
Mb0205	Rv0199		i	NE	NE
Mb0206	Rv0200		i	NE	NE
Mb0207c	Rv0201c		i	NE	NE
Mb0208c	Rv0202c	mmpL11	i	NE	NE
Mb0209	Rv0203		i	ES	NE
Mb0213c	Rv0207c		i	NE	NE
Mb0214c	Rv0208c		i	NE	NE
Mb0217	Rv0211	pckA	i	NE	NE
Mb0218c	Rv0212c	nadR	i	NE	NE
Mb0219c	Rv0213c		i	NE	NE
Mb0222	Rv0216		i	NE	NE
Mb0225	Rv0219		i	NE	NE
Mb0226	Rv0220	lipC	i	NE	NE
Mb0230	Rv0225		i	ES	ES
Mb0231c	Rv0226c		i	ES	ES
Mb0233	Rv0228		i	NE	ES
Mb0234c	Rv0229c		i	NE	GA
Mb0236	Rv0231	fadE4	i	NE	GA
Mb0237	Rv0232		i	NE	GA
Mb0239c	Rv0234c	gabD1	i	NE	NE
Mb0240c	Rv0235c		i	ES	NE
Mb0242c	Rv0236A		i	NE	NE
Mb0244	Rv0238		i	NE	NE
Mb0245	Rv0239	vapB24	i	NE	NE
Mb0247c	Rv0241c	htdX	i	NE	NE
Mb0248c	Rv0242c	fabG4	i	NE	NE
Mb0249	Rv0243	fadA2	i	ES	NE
Mb0251	Rv0245		i	NE	NE
Mb0253c	Rv0247c		i	NE	NE
Mb0254c	Rv0248c		i	NE	NE
Mb0255c	Rv0249c		i	NE	NE
Mb0256c	Rv0250c		i	NE	NE
Mb0257c	Rv0251c	hsp	i	NE	NE
Mb0258	Rv0252	nirB	i	NE	NE
Mb0259	Rv0253	nirD	i	NE	NE
Mb0260c	Rv0254c	cobU	i	NE	NE
Mb0261c	Rv0255c	cobQ1	i	NE	NE
Mb0262c	Rv0256c	PPE2	i	NE	NE
Mb0264c	Rv0258c		i	NE	NE
Mb0266c	Rv0260c		i	NE	NE
Mb0267c	Rv0261c	narK3	i	NE	NE
Mb0268c	Rv0262c	aac	i	NE	NE
Mb0269c	Rv0263c		i	NE	NE
Mb0270c	Rv0264c		i	NE	NE
Mb0271c	Rv0265c		i	NE	NE
Mb0272c	Rv0266c	oplA	i	NE	NE
Mb0273	Rv0267	narU	i	NE	GA
Mb0274c	Rv0268c		i	NE	GA
Mb0275c	Rv0269c		i	NE	NE
Mb0276	Rv0270	fadD2	i	NE	NE
Mb0277c	Rv0271c	fadE6	i	NE	NE
Mb0279c	Rv0273c		i	NE	NE
Mb0280	Rv0274		i	NE	NE
Mb0282	Rv0276		i	NE	NE
Mb0283c	Rv0277c	vapC25	i	NE	NE
Mb0289	Rv0281		i	ES	NE
Mb0291	Rv0283	eccB3	i	ES	ES
Mb0293	Rv0285	PE5	i	ES	ES
Mb0294	Rv0286	PPE4	i	ES	ES
Mb0295	Rv0287	esxG	i	ES	GD
Mb0296	Rv0288	esxH	i	ES	GD
Mb0297	Rv0289	espG3	i	ES	GD
Mb0299	Rv0291	mycP3	i	ES	ES
Mb0301c	Rv0293c		i	NE	NE
Mb0302	Rv0294	tam	i	NE	NE
Mb0303c	Rv0295c		i	NE	NE
Mb0304c	Rv0296c		i	NE	NE
Mb0306	Rv0298		i	NE	NE
Mb0308	Rv0300	vapB2	i	NE	NE
Mb0309	Rv0301	vapC2	i	NE	NE
Mb0311	Rv0303		i	NE	NE
Mb0314	Rv0306		i	NE	NE
Mb0315c	Rv0307c		i	NE	NE
Mb0316	Rv0308		i	NE	NE
Mb0317	Rv0309		i	NE	NE
Mb0318c	Rv0310c		i	GD	NE
Mb0319	Rv0311		i	NE	NE
Mb0321	Rv0313		i	NE	NE
Mb0324	Rv0316		i	NE	NE
Mb0325c	Rv0317c	glpQ2	i	NE	NE
Mb0327	Rv0319	pcp	i	NE	NE
Mb0328	Rv0320		i	NE	NE
Mb0330	Rv0322	udgA	i	NE	NE
Mb0335	Rv0328		i	NE	NE
Mb0337c	Rv0330c		i	NE	NE
Mb0338	Rv0331		i	NE	NE
Mb0340	Rv0333		i	ES	NE
Mb0341	Rv0334	rmlA	i	GD	ES
Mb0342c	Rv0335c	PE6	i	NE	NE
Mb0343	Rv0336		i	NE	GA
Mb0344c	Rv0337c	aspC	i	ES	ES
Mb0346c	Rv0339c		i	NE	NE
Mb0347	Rv0340		i	NE	NE
Mb0348	Rv0341	iniB	i	NE	NE
Mb0350	Rv0343	iniC	i	NE	NE
Mb0351c	Rv0344c	lpqJ	i	NE	NE
Mb0354c	Rv0346c	ansP2	i	ES	NE
Mb0355	Rv0347		i	ES	GD
Mb0356	Rv0348		i	NE	NE
Mb0357	Rv0349		i	ES	NE
Mb0358	Rv0350	dnaK	i	ES	ES
Mb0360	Rv0352	dnaJ1	i	GA	NE
Mb0361	Rv0353	hspR	i	GA	NE
Mb0363c	Rv0356c		i	ES	NE
Mb0364c	Rv0357c	purA	i	NE	ES
Mb0365	Rv0358		i	NE	GD
Mb0367c	Rv0360c		i	NE	GA
Mb0368	Rv0361		i	NE	GA
Mb0370c	Rv0363c	fba	i	NE	GD
Mb0372c	Rv0365c		i	NE	NE
Mb0373c	Rv0366c		i	NE	NE
Mb0374c	Rv0367c		i	NE	NE
Mb0376c	Rv0369c		i	NE	NE
Mb0378c	Rv0371c		i	NE	NE
Mb0381c	Rv0374c		i	NE	NE
Mb0382c	Rv0375c		i	NE	NE
Mb0383c	Rv0376c		i	NE	NE
Mb0385	Rv0378		i	NE	NE
Mb0386	Rv0379	secE2	i	NE	NE
Mb0387c	Rv0380c		i	NE	NE
Mb0388c	Rv0381c		i	ES	NE
Mb0389c	Rv0382c	pyrE	i	ES	ES
Mb0390c	Rv0383c		i	ES	GD
Mb0391c	Rv0384c	clpB	i	NE	GD
Mb0392	Rv0385		i	NE	GA
Mb0396	Rv0390		i	NE	NE
Mb0397	Rv0391	metZ	i	NE	NE
Mb0399	Rv0393		i	NE	NE
Mb0400c	Rv0394c		i	NE	NE
Mb0402	Rv0396		i	NE	NE
Mb0403	Rv0397		i	NE	NE
Mb0403A	Rv0397A		i	NE	NE
Mb0404c	Rv0398c		i	NE	NE
Mb0405c	Rv0399c	lpqK	i	NE	NE
Mb0406c	Rv0400c	fadE7	i	NE	NE
Mb0407	Rv0401		i	NE	NE
Mb0410c	Rv0403c	mmpS1	i	NE	NE
Mb0414c	Rv0406c		i	NE	NE
Mb0415	Rv0407	fgd1	i	NE	NE
Mb0417	Rv0409	ackA	i	NE	NE
Mb0418c	Rv0410c	pknG	i	NE	NE
Mb0419c	Rv0411c	glnH	i	NE	NE
Mb0421	Rv0413	mutT3	i	GD	NE
Mb0422c	Rv0414c	thiE	i	ES	ES
Mb0424	Rv0416	thiS	i	ES	ES
Mb0426	Rv0418	lpqL	i	NE	NE
Mb0429c	Rv0421c		i	ES	NE
Mb0430c	Rv0422c	thiD	i	ES	GD
Mb0431c	Rv0423c	thiC	i	NE	ES
Mb0432c	Rv0424c		i	NE	NE
Mb0434c	Rv0426c		i	NE	NE
Mb0435c	Rv0427c	xthA	i	NE	NE
Mb0438	Rv0430		i	NE	NE
Mb0440	Rv0432	sodC	i	NE	NE
Mb0441	Rv0433		i	NE	NE
Mb0443c	Rv0435c		i	NE	NE
Mb0445c	Rv0437c	psd	i	NE	NE
Mb0447c	Rv0439c		i	ES	NE
Mb0448	Rv0440	groEL2	i	NE	ES
Mb0449c	Rv0441c		i	NE	NE
Mb0451	Rv0443		i	NE	NE
Mb0453c	Rv0445c	sigK	i	NE	NE
Mb0454c	Rv0446c		i	NE	NE
Mb0455c	Rv0447c	ufaA1	i	NE	NE
Mb0456c	Rv0448c		i	NE	NE
Mb0457c	Rv0449c		i	NE	NE
Mb0459c	Rv0451c	mmpS4	i	NE	NE
Mb0460	Rv0452		i	NE	NE
Mb0461	Rv0453	PPE11	i	NE	NE
Mb0462	Rv0454		i	NE	N/A
Mb0463c	Rv0455c		i	NE	NE
Mb0464c	Rv0456c	echA2	i	NE	NE
Mb0465c	Rv0456A	mazF1	i	NE	NE
Mb0467	Rv0458		i	NE	NE
Mb0468	Rv0459		i	NE	NE
Mb0469	Rv0460		i	NE	NE
Mb0470	Rv0461		i	NE	NE
Mb0471	Rv0462	lpdC	i	NE	NE
Mb0472	Rv0463		i	NE	NE
Mb0473c	Rv0464c		i	NE	NE
Mb0475	Rv0466		i	NE	NE
Mb0476	Rv0467	icl1	i	NE	GD
Mb0477	Rv0468	fadB2	i	NE	NE
Mb0478	Rv0469	umaA	i	NE	NE
Mb0479c	Rv0470c	pcaA	i	NE	NE
Mb0480c	Rv0470A		i	NE	GA
Mb0481c	Rv0471c		i	NE	GA
Mb0482c	Rv0472c		i	NE	GA
Mb0483	Rv0473		i	NE	GA
Mb0484	Rv0474		i	NE	GA
Mb0485	Rv0475	hbhA	i	NE	GA
Mb0486	Rv0476		i	NE	GA
Mb0487	Rv0477		i	NE	GA
Mb0488	Rv0478	deoC	i	ES	GA
Mb0489c	Rv0479c		i	NE	ES
Mb0491c	Rv0481c		i	ES	NE
Mb0492	Rv0482	murB	i	GA	ES
Mb0493	Rv0483	lprQ	i	GA	GA
Mb0495	Rv0485		i	ES	NE
Mb0496	Rv0486	mshA	i	NE	NE
Mb0497	Rv0487		i	NE	NE
Mb0498	Rv0488		i	NE	NE
Mb0499	Rv0489	gpm1	i	NE	NE
Mb0500	Rv0490	senX3	i	NE	NE
Mb0501	Rv0491	regX3	i	NE	NE
Mb0503c	Rv0492A		i	NE	NE
Mb0505	Rv0494		i	NE	NE
Mb0506c	Rv0495c		i	NE	NE
Mb0507	Rv0496		i	NE	NE
Mb0508	Rv0497		i	NE	NE
Mb0509	Rv0498		i	NE	NE
Mb0510	Rv0499		i	ES	NE
Mb0512	Rv0500A		i	NE	NE
Mb0512A	Rv0500B		i	NE	N/A
Mb0513	Rv0501	galE2	i	NE	NE
Mb0514	Rv0502		i	NE	NE
Mb0515c	Rv0503c	cmaA2	i	NE	GA
Mb0516c	Rv0504c		i	ES	NE
Mb0517c	Rv0505c	serB1	i	NE	NE
Mb0518	Rv0506	mmpS2	i	NE	NE
Mb0520	Rv0508		i	ES	NE
Mb0521	Rv0509	hemA	i	ES	ES
Mb0523	Rv0510	hemC	i	ES	ES
Mb0524	Rv0511	hemD	i	ES	GD
Mb0526	Rv0513		i	NE	GA
Mb0527	Rv0514		i	NE	GA
Mb0528	Rv0515		i	NE	GA
Mb0529c	Rv0516c		i	NE	GA
Mb0531	Rv0518		i	NE	GA
Mb0532c	Rv0519c		i	NE	GA
Mb0533	Rv0520		i	NE	N/A
Mb0534	Rv0521		i	NE	N/A
Mb0535	Rv0522	gabP	i	NE	NE
Mb0536c	Rv0523c		i	ES	NE
Mb0537	Rv0524	hemL	i	ES	ES
Mb0538	Rv0525		i	ES	ES
Mb0539	Rv0526		i	ES	ES
Mb0540	Rv0527	ccdA	i	ES	ES
Mb0541	Rv0528		i	ES	ES
Mb0542	Rv0529	ccsA	i	NE	ES
Mb0543	Rv0530		i	NE	NE
Mb0543A	Rv0530A		i	NE	NE
Mb0544	Rv0531		i	NE	NE
Mb0547c	Rv0533c	fabH	i	NE	NE
Mb0548c	Rv0534c	menA	i	NE	ES
Mb0549	Rv0535		i	NE	NE
Mb0550	Rv0536	galE3	i	NE	NE
Mb0551c	Rv0537c		i	NE	NE
Mb0553	Rv0539		i	NE	NE
Mb0554	Rv0540		i	NE	NE
Mb0556c	Rv0542c	menE	i	ES	ES
Mb0557c	Rv0543c		i	NE	ES
Mb0558c	Rv0544c		i	NE	NE
Mb0560c	Rv0546c		i	NE	NE
Mb0561c	Rv0547c		i	NE	NE
Mb0562c	Rv0548c	menB	i	NE	ES
Mb0565c	Rv0550c	vapB3	i	NE	NE
Mb0566c	Rv0551c	fadD8	i	NE	NE
Mb0567	Rv0552		i	NE	NE
Mb0568	Rv0553	menC	i	NE	ES
Mb0569	Rv0554	bpoC	i	ES	NE
Mb0570	Rv0555	menD	i	ES	ES
Mb0572	Rv0557	mgtA	i	ES	NE
Mb0573	Rv0558	menH	i	GA	ES
Mb0574c	Rv0559c		i	GD	NE
Mb0575c	Rv0560c		i	GD	NE
Mb0576c	Rv0561c		i	ES	NE
Mb0577	Rv0562	grcC1	i	NE	ES
Mb0578	Rv0563	htpX	i	NE	NE
Mb0579c	Rv0564c	gpdA1	i	NE	NE
Mb0580c	Rv0565c		i	NE	NE
Mb0581c	Rv0566c		i	NE	NE
Mb0583	Rv0568	cyp135B1	i	NE	NE
Mb0584	Rv0569		i	NE	NE
Mb0586c	Rv0571c		i	NE	NE
Mb0588c	Rv0573c	pncB2	i	NE	NE
Mb0592	Rv0577	TB27.3	i	NE	NE
Mb0594	Rv0579		i	NE	NE
Mb0595c	Rv0580c		i	NE	NE
Mb0596	Rv0581	vapB26	i	NE	NE
Mb0597	Rv0582	vapC26	i	NE	NE
Mb0598c	Rv0583c	lpqN	i	NE	NE
Mb0601	Rv0586	mce2R	i	NE	NE
Mb0602	Rv0587	yrbE2A	i	NE	NE
Mb0603	Rv0588		i	NE	NE
Mb0610	Rv0594	mce2F	i	NE	NE
Mb0611c	Rv0595c	vapC4	i	NE	NE
Mb0612c	Rv0596c	vapB4	i	NE	NE
Mb0613c	Rv0597c		i	NE	NE
Mb0614c	Rv0598c	vapC27	i	NE	NE
Mb0615c	Rv0599c	vapB27	i	NE	NE
