Mbovis	Mtb	gene	func_cat	i/v	alteration	ess_bovis	ess_mtb
Mb0001	Rv0001	dnaA	information pathways	Variable	Non-syn SNP(s)	ES	ES
Mb0002	Rv0002	dnaN	information pathways	Variable	Non-syn SNP(s)	NE	ES
Mb0003	Rv0003	recF	information pathways	Variable	Non-syn SNP(s)	NE	NE
Mb0004	Rv0004	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	NE
Mb0005	Rv0005	gyrB	information pathways	Variable	Non-syn SNP(s)	ES	ES
Mb0006	Rv0006	gyrA	information pathways	Variable	Non-syn SNP(s)	GD	ES
Mb0007	Rv0007	-	cell wall and cell processes	Variable	Non-syn SNP(s)	GD	NE
Mb0008c	Rv0008c	-	cell wall and cell processes	Identical		NE	NE
Mb0009	Rv0009	ppiA	information pathways	Identical		NE	NE
Mb0010c	Rv0010c	-	cell wall and cell processes	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0011c	Rv0011c	-	cell wall and cell processes	Identical		NE	NE
Mb0012	Rv0012	-	cell wall and cell processes	Variable	Non-syn SNP(s)	GD	NE
Mb0013	Rv0013	trpG	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	ES
Mb0014c	Rv0014c	pknB	regulatory proteins	Identical		ES	ES
Mb0015c	Rv0015c	pknA	regulatory proteins	Identical		ES	ES
Mb0016c	Rv0016c	pbpA	cell wall and cell processes	Identical		NE	NE
Mb0017c	Rv0017c	rodA	cell wall and cell processes	Identical		ES	NE
Mb0018c	Rv0018c	ppp	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0019c	Rv0019c	-	regulatory proteins	Identical		ES	NE
Mb0020c	Rv0020c	TB39.8	regulatory proteins	Variable	Truncated protein in M. bovis	N/A	ES
Mb0021c	Rv0021c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0022c	Rv0022c	whiB5	regulatory proteins	Identical		ES	NE
Mb0023	Rv0023	-	regulatory proteins	Identical		NE	GD
Mb0024	Rv0024	-	virulence, detoxification, adaptation	Variable	Frameshift in M. bovis	NE	NE
Mb0025		-				NE	0
Mb0026	Rv0025	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0027	Rv0026	-	conserved hypotheticals	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb0028	Rv0027	-	Conserved hypothetical protein	Identical		NE	NE
Mb0029	Rv0028	-	Conserved hypothetical protein	Identical		NE	NE
Mb0030	Rv0029	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0031	Rv0030	-	Conserved hypothetical protein	Identical		NE	NE
Mb0032	Rv0031	-	insertion seqs and phages	Identical		NE	0
Mb0033	Rv0032	bioF2	intermediate metabolism and respiration	Identical		NE	NE
Mb0034	Rv0033	acpA	lipid metabolism	Identical		NE	NE
Mb0035	Rv0034	-	Conserved hypothetical protein	Identical		NE	NE
Mb0036	Rv0035	fadD34	lipid metabolism	Identical		NE	NE
Mb0037c	Rv0036c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0038c	Rv0037c	-	cell wall and cell processes	Identical		NE	NE
Mb0039	Rv0038	-	Conserved hypothetical protein	Identical		NE	NE
Mb0040c	Rv0039c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0041c	Rv0040c	mtc28	cell wall and cell processes	Identical		ES	NE
Mb0042	Rv0041	leuS	information pathways	Identical		NE	ES
Mb0043c	Rv0042c	-	regulatory proteins	Identical		NE	NE
Mb0044c	Rv0043c	-	regulatory proteins	Identical		NE	NE
Mb0045c	Rv0044c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0046c	Rv0045c	-	lipid metabolism	Identical		ES	NE
Mb0047c	Rv0046c	ino1	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	ES
Mb0048c	Rv0047c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0049c	Rv0048c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0050	Rv0049	-	Conserved hypothetical protein	Identical		NE	NE
Mb0051	Rv0050	ponA1	cell wall and cell processes	Variable	Base insertion(s) leading to gene fusion event in M. bovis AF2122/97	NE	NE
Mb0052	Rv0051	-	cell wall and cell processes	Identical		NE	NE
Mb0053	Rv0052	-	Conserved hypothetical protein	Identical		NE	NE
Mb0054	Rv0053	rpsF	information pathways	Identical		NE	NE
Mb0055	Rv0054	ssb	information pathways	Identical		NE	ES
Mb0056	Rv0055	rpsR1	information pathways	Identical		NE	ES
Mb0057	Rv0056	rplI	information pathways	Identical		NE	NE
Mb0058	Rv0057	-	Conserved hypothetical protein	Identical		ES	NE
Mb0059	Rv0058	dnaB	information pathways	Variable	Non-syn SNP(s)	NE	ES
Mb0060	Rv0059	-	Conserved hypothetical protein	Identical		ES	GA
Mb0061	Rv0060	-	Conserved hypothetical protein	Identical		NE	ES
Mb0062A	Rv0061c	len: 112 aa. Equivalent to Rv0061c len: 112 aa	Conserved hypothetical protein	Identical		NE	NE
Mb0063	Rv0062	celA1	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0064	Rv0063	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0065	Rv0064	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0065A	Rv0064A	len: 79 aa. Equivalent to Rv0064A len: 79 aa	virulence, detoxification,adaptation	Variable	Non-syn SNP(s)	NE	NE
Mb0066	Rv0065	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0067c	Rv0066c	icd2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0068c	Rv0067c	-	regulatory proteins	Identical		NE	NE
Mb0069	Rv0068	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0070c	Rv0069c	sdaA	intermediate metabolism and respiration	Identical		NE	NE
Mb0071c	Rv0070c	glyA2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0072	Rv0071	-	information pathways	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb0073	Rv0072	-	cell wall and cell processes	Identical		NE	NE
Mb0074	Rv0073	-	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb0075 found to be expressed during exponential growth in Sauton's minimal media by RNA-sequencing.		Mb0075				NE	0
Mb0076	Rv0074	-	Conserved hypothetical protein	Identical		NE	NE
Mb0077	Rv0075	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0078c	Rv0076c	-	cell wall and cell processes	Identical		NE	NE
Mb0079c	Rv0077c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0080	Rv0078	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0081A	Rv0078B	len: 68 aa. Equivalent to Rv0078B len: 68 aa	Conserved hypothetical protein	Identical		NE	NE
Mb0081c	Rv0078A	-	Conserved hypothetical protein	Identical		NE	NE
Mb0082	Rv0079	-	Conserved hypothetical protein	Identical		NE	NE
Mb0083	Rv0080	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0084	Rv0081	-	regulatory proteins	Identical		NE	NE
Mb0085	Rv0082	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0086	Rv0083	-	intermediary metabolism and respiration	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb0087	Rv0084	hycD	intermediate metabolism and respiration	Identical		NE	NE
