,,,,,,,,,,,,
,,,,,,,,,,,,
Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Annotation,Fxnal cat
Rv0008c,Mb0008c,, 145 aa, 145 aa ,,,100.00%,145 aa overlap,,,possible membrane protein,cell wall and cell processes
Rv0009,Mb0009,ppiA, 182 aa, 182 aa ,,,100.00%,182 aa overlap,,,probable iron-regulated peptidyl-prolyl cis-trans isomerase a ppia ppiase a rotamase a,information pathways
Rv0011c,Mb0011c,, 93 aa, 93 aa ,,,100.00%,93 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0014c,Mb0014c,pknB, 626 aa, 626 aa ,,,100.00%,626 aa overlap,,,transmembrane serine/threonine-protein kinase b pknb protein kinase b stpk b,regulatory proteins
Rv0015c,Mb0015c,pknA, 431 aa, 431 aa ,,,100.00%,431 aa overlap,,,transmembrane serine/threonine-protein kinase a pkna protein kinase a stpk a,regulatory proteins
Rv0016c,Mb0016c,pbpA, 491 aa, 491 aa ,,,100.00%,491 aa overlap,,,probable penicillin-binding protein pbpa,cell wall and cell processes
Rv0017c,Mb0017c,rodA, 469 aa, 469 aa ,,,100.00%,469 aa overlap,,,probable cell division protein roda,cell wall and cell processes
Rv0019c,Mb0019c,fhab, 155 aa, 155 aa ,,,100.00%,155 aa overlap,,,conserved protein with fha domainc fhab,regulatory proteins
Rv0022c,Mb0022c,whiB5, 139 aa, 139 aa ,,,100.00%,139 aa overlap,,,probable transcriptional regulatory protein whib-like whib5,regulatory proteins
Rv0023,Mb0023,, 256 aa, 256 aa ,,,100.00%,256 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0027,Mb0028,, 105 aa, 105 aa ,,,100.00%,105 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0028,Mb0029,, 101 aa, 101 aa ,,,100.00%,101 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0030,Mb0031,, 109 aa, 109 aa ,,,100.00%,109 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0031,Mb0032,, 70 aa, 70 aa ,,,100.00%,70 aa overlap,,,possible remnant of a transposase,insertion seqs and phages
