"Name","Type","Product","Start","End","Gene Length","No.Insertion sites","Insertion Index","Av. Coverage","No.Insertion sites DP>5","Insertion Index DP>5","Av. Coverage DP>5","Pos. IS","No.reads per IS","Total no. IS"
"MB0001","CDS","CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA",1,1524,1524,3,0.00196850393700787,10,2,0.00131233595800525,36.5,"1406;1519;1524","1,10,63",74
"MB0002","CDS","DNA POLYMERASE III %28BETA CHAIN%29 DNAN %28DNA NUCLEOTIDYLTRANSFERASE%29",2052,3260,1209,0,0,0,0,0,0,"0","0",0
"MB0003","CDS","DNA REPLICATION AND REPAIR PROTEIN RECF %28SINGLE-STRAND DNA BINDING PROTEIN%29",3280,4437,1158,12,0.0103626943005181,3,3,0.00259067357512953,132,"3279;3331;3515;3592;3654;3684;3870;3912;3988;4030;4096;4219","2,221,3,3,5,1,2,3,2,3,132,1",378
"MB0004","CDS","Zn-ribbon-containing%2C possibly RNA-binding protein and truncated derivatives",4434,4997,564,0,0,0,0,0,0,"0","0",0
"MB0005","CDS","DNA GYRASE %28SUBUNIT B%29 GYRB %28DNA TOPOISOMERASE %28ATP-HYDROLYSING%29%29 %28DNA TOPOISOMERASE II%29 %28TYPE II DNA TOPOISOMERASE%29",5123,7267,2145,3,0.0013986013986014,41,3,0.0013986013986014,41,"5054;5122;5172","32,95,41",168
"MB0006","CDS","DNA GYRASE %28SUBUNIT A%29 GYRA %28DNA TOPOISOMERASE %28ATP-HYDROLYSING%29%29 %28DNA TOPOISOMERASE II%29 %28TYPE II DNA TOPOISOMERASE%29",7302,9818,2517,5,0.00198649185538339,4,2,0.000794596742153357,14.5,"9102;9660;9700;9761;9818","1,1,4,7,22",35
"MB0007","CDS","POSSIBLE CONSERVED MEMBRANE PROTEIN",9914,10828,915,4,0.00437158469945355,14,3,0.00327868852459016,16,"9818;9879;9905;10828","22,12,16,1",51
"MB0008c","CDS","POSSIBLE MEMBRANE PROTEIN",11874,12311,438,6,0.0136986301369863,11,3,0.00684931506849315,19,"11789;11938;11939;12044;12056;12236","18,19,1,1,20,4",63
"MB0009","CDS","PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA %28PPIase A%29 %28ROTAMASE A%29",12468,13016,549,12,0.0218579234972678,5.5,8,0.0145719489981785,8,"12354;12375;12468;12505;12547;12623;12634;12665;12682;12752;12800;12930","5,3,3,24,2,7,5,1,34,9,39,6",138
"MB0010c","CDS","PROBABLE CONSERVED MEMBRANE PROTEIN",13222,13557,336,7,0.0208333333333333,5,5,0.0148809523809524,7,"13157;13170;13208;13252;13326;13370;13552","33,1,13,5,5,7,2",66
