locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
BQ2027_MB0055,ssb,0,58576,59070,1,1,0.00224215246636771,495,1,single-strand binding protein ssb (helix-destabilizing protein)
BQ2027_MB0230,BQ2027_MB0230,0,266987,268141,1,28,0.00192307692307692,1155,2,Glycosyltransferase
BQ2027_MB0231C,BQ2027_MB0231C,0,268158,269888,-1,3,0.00192554557124519,1731,3,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
BQ2027_MB0233,BQ2027_MB0233,0,271379,272602,1,5,0.00272232304900181,1224,3,PROBABLE INTEGRAL MEMBRANE ACYLTRANSFERASE
BQ2027_MB0291,eccb3,0,345024,346640,1,3,0.00206043956043956,1617,3,esx conserved component eccb3. esx-3 type vii secretion system protein. possible membrane protein.
BQ2027_MB0341,rmlA,0,399688,400554,1,13,0.00256081946222791,867,2,alpha-d-glucose-1-phosphate thymidylyltransferase rmla (dtdp-glucose synthase) (dtdp-glucose pyrophosphorylase)
BQ2027_MB0342C,PE6,0,400565,401080,-1,2,0.0021505376344086,516,1,pe family protein pe6
BQ2027_MB0389C,pyrE,0,458858,459397,-1,4,0.00205761316872428,540,1,PROBABLE OROTATE PHOSPHORIBOSYLTRANSFERASE PYRE (OPRT) (OPRTASE)
BQ2027_MB0516C,BQ2027_MB0516C,0,595953,596453,-1,1,0.00221729490022173,501,1,UPF0336 protein
BQ2027_MB0548C,menA,0,626806,627684,-1,2,0.00252525252525253,879,2,1,4-DIHYDROXY-2-NAPHTHOATE OCTAPRENYLTRANSFERASE MENA (DHNA-OCTAPRENYLTRANSFERASE)
BQ2027_MB0555C,BQ2027_MB0555C,0,634299,635648,-1,9,0.00246913580246914,1350,3,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
BQ2027_MB0556C,menE,0,635660,636748,-1,2,0.00203873598369011,1089,2,POSSIBLE O-SUCCINYLBENZOIC ACID--COA LIGASE MENE (OSB-COA SYNTHETASE) (O-SUCCINYLBENZOATE-COA SYNTHASE)
BQ2027_MB0562C,menB,0,640256,641200,-1,2,0.00235017626321974,945,2,naphthoate synthase menb (dihydroxynaphthoic acid synthetase) (dhna synthetase)
BQ2027_MB0570,menD,0,647541,649205,1,68,0.00200133422281521,1665,3,PROBABLE BIFUNCTIONAL MENAQUINONE BIOSYNTHESIS PROTEIN MEND : 2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLATE SYNTHASE (SHCHC SYNTHASE) + 2-OXOGLUTARATE DECARBOXYLASE (ALPHA-KETOGLUTARATE DECARBOXYLASE) (KDC)
BQ2027_MB0795,purD,0,866775,868043,1,41,0.0026246719160105,1269,3,PROBABLE PHOSPHORIBOSYLAMINE--GLYCINE LIGASE PURD (GARS) (GLYCINAMIDE RIBONUCLEOTIDE SYNTHETASE) (PHOSPHORIBOSYLGLYCINAMIDE SYNTHETASE) (5'-PHOSPHORIBOSYLGLYCINAMIDE SYNTHETASE)
BQ2027_MB0856,PE_PGRS13,0,926191,928512,1,4,0.00191387559808612,2322,4,pe-pgrs family protein pe_pgrs13
BQ2027_MB0882,fadA,0,955831,957042,1,4,0.00183318056828598,1212,2,POSSIBLE ACYL-COA THIOLASE FADA
BQ2027_MB0883,fadB,0,957047,959209,1,8,0.00205444273240883,2163,4,PROBABLE FATTY OXIDATION PROTEIN FADB
BQ2027_MB0962C,mku,0,1045666,1046487,-1,55,0.0027027027027027,822,2,dna end-binding protein, mku
BQ2027_MB0999C,accD2,0,1086223,1087812,-1,6,0.00279524807826695,1590,4,PROBABLE ACETYL-/PROPIONYL-COA CARBOXYLASE (BETA SUBUNIT) ACCD2
BQ2027_MB1198,lpqW,0,1297552,1299459,1,11,0.00232828870779977,1908,4,probable conserved lipoprotein lpqw
BQ2027_MB1286,BQ2027_MB1286,0,1402930,1404081,1,7,0.00192864030858245,1152,2,PROBABLE ACYLTRANSFERASE
BQ2027_MB1306,lprC,0,1427306,1427848,1,1,0.00204498977505112,543,1,possible lipoprotein lprc
BQ2027_MB1307C,BQ2027_MB1307C,0,1427993,1428469,-1,4,0.00232558139534884,477,1,Phosphohistidine phosphatase SixA
BQ2027_MB1329,rho,0,1455662,1457470,1,35,0.00184162062615101,1809,3,PROBABLE TRANSCRIPTION TERMINATION FACTOR RHO HOMOLOG
