,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
Rv0079/Mb0082,Rv0079,Mb0082,0,unknown protein,Conserved hypothetical protein,-,-,-,-,Identical,493.4912919,447.015616,-0.131528728,0.739159455,-2.372325474,0.000000000000489209,-2.246093426,0.0000000000012485,-2.30920945
Rv0080/Mb0083,Rv0080,Mb0083,0,CONSERVED HYPOTHETICAL PROTEIN,conserved hypotheticals,-,-,-,-,Variable,206.3647706,65.01579916,-1.666334455,0.00012559,0.210401879,0.356401915,-0.348498829,0.106372474,-0.069048475
Rv0081/Mb0084,Rv0081,Mb0084,0,probable transcriptional regulatory protein,regulatory proteins,-,-,-,-,Identical,27.39092695,6.296397415,-0.872113095,NA,-1.025857234,0.00676449,-0.178634493,0.619780939,-0.602245863
Rv0082/Mb0085,Rv0082,Mb0085,0,probable oxidoreductase,intermediate metabolism and respiration,-,-,-,-,Identical,58.14560161,16.51485228,-1.390249746,0.000000399835,-1.458735552,0.0000485458,-1.676426629,0.00000960492,-1.567581091
Rv0083/Mb0086,Rv0083,Mb0086,0,PROBABLE OXIDOREDUCTASE,intermediary metabolism and respiration,-,-,-,-,Variable,13.27548397,4.631227724,-1.519297853,0.003717561,-1.350037557,0.003489503,-1.533187999,0.001136137,-1.441612778
Rv0569/Mb0584,Rv0569,Mb0584,0,conserved protein,Conserved hypothetical protein,-,-,-,-,Identical,169.613402,188.4864216,0.192042725,0.519293038,-1.828120114,0.0000000230183,-1.036851028,0.0000347566,-1.432485571
5' end of Rv0570/Mb0585,Rv0570,Mb0585,nrdZ,PROBABLE RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE LARGE SUBUNIT NRDZ RIBONUCLEOTIDE REDUCTASE,information pathways,"ribonucleoside-diphosphate reductase, nrdZ","Nucleotide biosynthesis, de novo biosynthesis of pyrimidine ribonucleotides ",Nucleotide biosynthesis,CDP + 1 RTHIO + COB_II = OTHIO + DCDP + COB_III,Variable,55.83379704,40.8555388,-0.450606993,0.082022104,-2.912344085,0.000000000000891787,-2.489793224,0.00000000000911237,-2.701068655
Rv0571c/Mb0586c,Rv0571c,Mb0586c,0,conserved protein,Conserved hypothetical protein,-,-,-,-,Identical,44.3991977,57.16911665,0.496642277,0.034400534,-0.629067114,0.002837538,-0.451150567,0.022340065,-0.540108841
Rv0572c/Mb0587c,Rv0572c,Mb0587c,0,HYPOTHETICAL PROTEIN,conserved hypotheticals ,-,-,-,-,Variable,31.6425827,19.97706134,-0.663522983,0.058974378,-,-,-,-,-
Rv0573c/Mb0588c,Rv0573c,Mb0588c,pncb2,nicotinic acid phosphoribosyltransferase pncb2,intermediate metabolism and respiration,nicotinate phosphoribosyltransferase,"Cofactor biosynthesis, Nicotinamide nucleotides (NAD+, NADP) biosynthesis",Cofactor biosynthesis,NAC + PRPP = NACN + PPI,Identical,13.68674191,11.55479723,-0.185527686,0.347031918,-0.679975627,0.121692255,-1.44431616,0.00202223,-1.062145894
Rv0574c/Mb0589c,Rv0574c,Mb0589c,0,CONSERVED HYPOTHETICAL PROTEIN,conserved hypotheticals,-,-,-,-,Variable,38.7877259,36.95670895,-0.069763906,0.892210415,-,-,-,-,-
Rv1733c/Mb1762c,Rv1733c,Mb1762c,0,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,cell wall and cell processes,-,-,-,-,Variable,34.72036828,62.27301916,0.842824976,0.116102704,-,-,-,-,-
Rv1735c/Mb1764c,Rv1735c,Mb1764c,0,hypothetical membrane protein,cell wall and cell processes,-,-,-,-,Identical,16.98513153,12.21919903,-0.490406065,0.146515317,-,-,-,-,-
