#HMM - Genes
#genes: ES=419, GD=163, NE=2993, GA=324, N/A=7
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0001	dnaA	chromosomal replication initiator protein DnaA	32	31	0	1	0	0.1875	37.00	ES
Rv0002	dnaN	DNA polymerase III subunit beta	31	31	0	0	0	0.0645	1.00	ES
Rv0003	recF	DNA replication/repair protein RecF	35	0	0	35	0	0.8571	47.77	NE
Rv0004		hypothetical protein	8	0	0	8	0	0.3750	200.00	NE
Rv0005	gyrB	DNA gyrase subunit B	40	39	0	1	0	0.0250	37.00	ES
Rv0006	gyrA	DNA gyrase subunit A	46	44	0	2	0	0.0870	38.00	ES
Rv0007		membrane protein	11	0	0	11	0	1.0000	229.82	NE
Rv0008c		cell wall synthesis protein CwsA	4	0	0	4	0	1.0000	124.25	NE
Rv0009	ppiA	iron-regulated peptidyl-prolyl cis-trans isomerase PpiA	7	0	0	7	0	0.8571	228.83	NE
Rv0010c		membrane protein	10	0	0	10	0	0.9000	163.11	NE
Rv0011c		cell division protein CrgA	3	0	0	3	0	1.0000	13.33	NE
Rv0012		membrane protein	16	0	0	16	0	1.0000	188.75	NE
Rv0013	trpG	anthranilate synthase component II	15	12	0	3	0	0.1333	172.00	ES
Rv0014c	pknB	serine/threonine-protein kinase PknB	25	24	0	1	0	0.0800	168.00	ES
Rv0015c	pknA	serine/threonine-protein kinase PknA	16	13	0	3	0	0.1875	30.00	ES
Rv0016c	pbpA	penicillin-binding protein PbpA	37	1	0	36	0	0.8649	51.47	NE
Rv0017c	rodA	cell division protein RodA	27	0	0	27	0	1.0000	114.33	NE
Rv0018c	pstP	phosphoserine/threonine phosphatase PstP	25	11	0	14	0	0.5600	115.21	NE
Rv0019c	fhaB	FHA domain-containing protein FhaB	13	1	0	12	0	1.0000	75.85	NE
Rv0020c	fhaA	FHA domain-containing protein FhaA	52	43	0	9	0	0.1923	144.60	ES
Rv0021c		hypothetical protein	23	0	0	23	0	1.0000	222.09	NE
Rv0022c	whiB5	transcriptional regulator WhiB5	8	0	0	8	0	1.0000	212.00	NE
Rv0023		transcriptional regulator	12	0	12	0	0	0.5000	3.17	GD
Rv0024		NLP/P60 family protein	13	0	0	13	0	0.9231	130.33	NE
Rv0025		hypothetical protein	8	0	0	8	0	1.0000	110.50	NE
Rv0026		hypothetical protein	15	0	0	15	0	0.8667	178.23	NE
Rv0027		hypothetical protein	5	0	0	5	0	1.0000	64.00	NE
Rv0028		hypothetical protein	5	0	0	5	0	1.0000	220.40	NE
Rv0029		hypothetical protein	19	0	0	19	0	1.0000	176.79	NE
Rv0030		hypothetical protein	5	0	0	5	0	1.0000	146.60	NE
Rv0032	bioF2	8-amino-7-oxononanoate synthase	57	0	0	57	0	0.8421	185.02	NE
Rv0033	acpA	acyl carrier protein AcpA	3	0	0	3	0	1.0000	306.33	NE
Rv0034		hypothetical protein	5	0	0	5	0	1.0000	182.20	NE
Rv0035	fadD34	fatty-acid--CoA ligase FadD34	25	0	0	25	0	0.9600	232.17	NE
Rv0036c		hypothetical protein	4	0	0	4	0	1.0000	205.50	NE
Rv0037c		MFS-type transporter	21	0	0	21	0	0.9524	244.45	NE
Rv0038		hypothetical protein	8	0	0	8	0	1.0000	243.88	NE
Rv0039c		transmembrane protein	4	0	0	4	0	1.0000	156.50	NE
Rv0040c	mtc28	hypothetical protein	10	0	0	10	0	1.0000	212.70	NE
Rv0041	leuS	leucine--tRNA ligase	73	72	0	1	0	0.0411	101.33	ES
Rv0042c		transcriptional regulator	5	0	0	5	0	1.0000	83.60	NE
Rv0043c		HTH-type transcriptional regulator	11	0	0	11	0	1.0000	111.45	NE
Rv0044c		oxidoreductase	20	0	0	20	0	0.9500	143.68	NE
Rv0045c		hydrolase	7	0	0	7	0	1.0000	284.29	NE
Rv0046c	ino1	inositol-3-phosphate synthase	17	16	0	1	0	0.1176	9.50	ES
Rv0047c		hypothetical protein	8	0	0	8	0	1.0000	324.12	NE
Rv0048c		membrane protein	16	0	0	16	0	1.0000	343.94	NE
Rv0049		hypothetical protein	9	0	0	9	0	1.0000	154.44	NE
Rv0050	ponA1	bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	37	0	0	37	0	0.9459	36.91	NE
Rv0051		transmembrane protein	34	0	0	34	0	0.9706	100.73	NE
Rv0052		hypothetical protein	7	0	0	7	0	1.0000	303.14	NE
Rv0053	rpsF	30S ribosomal protein S6	7	0	0	7	0	0.2857	48.50	NE
Rv0054	ssb	single-strand DNA-binding protein	5	5	0	0	0	0.0000	0.00	ES
Rv0055	rpsR1	30S ribosomal protein S18	5	3	0	2	0	0.4000	79.00	ES
Rv0056	rplI	50S ribosomal protein L9	8	0	0	8	0	1.0000	80.75	NE
Rv0057		hypothetical protein	16	1	0	15	0	1.0000	56.00	NE
