gene	bovis_call	mtb_call
35kd_ag	GA	NE
aac	NE	NE
aao	NE	NE
accA1	NE	NE
accA2	ES	NE
accA3	NE	ES
accD1	NE	NE
accD2	NE	NE
accD3	NE	NE
accD4	ES	ES
accD5	ES	ES
accD6	NE	GD
aceE	ES	NE
ackA	NE	NE
acn	ES	ES
acpA	NE	NE
acpM	ES	ES
acpS	ES	NE
acrA1	NE	NE
acs	NE	NE
acyP	NE	NE
add	NE	NE
adh	NE	NE
adhA	NE	NE
adhB	NE	NE
adhC	NE	NE
adhD	NE	NE
adhE1	NE	NE
adk	NE	NE
aglA	NE	NE
agpS	NE	NE
ahpC	NE	NE
ahpD	NE	NE
ahpE	NE	NE
alaS	NE	ES
aldA	NE	NE
aldC	NE	NE
alkB	NE	GA
alr	NE	ES
amiA1	NE	NE
amiA2	GD	NE
amiB1	NE	NE
amiB2	NE	NE
amiC	ES	NE
amiD	NE	NE
amt	ES	NE
ansA	NE	NE
ansP1	NE	NE
ansP2	ES	NE
aofH	NE	NE
apa	NE	NE
apt	NE	NE
arcA	NE	NE
argB	GD	ES
argC	ES	ES
argD	GD	ES
argF	NE	ES
argG	ES	ES
argH	NE	ES
argJ	ES	ES
argR	ES	NE
argS	ES	ES
aroA	NE	GD
aroB	ES	ES
aroD	ES	ES
aroE	GD	NE
aroF	NE	ES
aroG	NE	ES
aroK	ES	ES
arsA	NE	NE
arsB1	NE	NE
arsB2	NE	NE
arsC	NE	NE
asd	GD	GD
ask	NE	GD
asnB	GD	ES
aspB	NE	NE
aspC	ES	ES
aspS	NE	ES
atpA	ES	ES
atpB	ES	GD
atpC	NE	NE
atpD	ES	ES
atpE	ES	GD
atpF	ES	ES
atpG	ES	ES
atpH	ES	ES
atsB	NE	NE
atsD	NE	NE
bcp	NE	NE
bcpB	ES	NE
betP	NE	NE
bfrA	NE	GA
bfrB	NE	NE
bglS	NE	NE
bioA	NE	NE
bioB	NE	NE
bioD	GD	NE
bioF1	NE	NE
bioF2	NE	NE
birA	ES	NE
bisC	NE	NE
blaC	NE	NE
bpoA	NE	NE
bpoB	NE	NE
bpoC	ES	NE
cadI	NE	NE
carA	ES	ES
carB	ES	ES
cbs	NE	NE
ccdA	ES	ES
ccsA	NE	ES
cdd	NE	NE
cdh	NE	NE
cdsA	GD	ES
celA1	NE	NE
ceoB	NE	NE
ceoC	NE	NE
cfp2	NE	NE
cfp21	NE	GA
cfp29	NE	NE
cfp6	NE	NE
chaA	NE	NE
choD	ES	GA
cinA	NE	NE
citA	NE	NE
citE	GD	NE
clpB	NE	GD
clpP1	NE	GD
clpP2	ES	GD
clpX	NE	ES
cmaA1	NE	NE
cmaA2	NE	GA
cmk	ES	GD
coaA	NE	ES
coaE	NE	GD
cobB	NE	NE
cobC	NE	NE
cobD	NE	NE
cobG	NE	NE
cobH	NE	NE
cobK	NE	NE
cobM	NE	NE
cobN	NE	NE
cobO	NE	NE
cobQ1	NE	NE
cobQ2	GA	ES
cobS	NE	NE
cobT	NE	NE
cobU	NE	NE
corA	NE	NE
cpsY	NE	NE
csd	NE	ES
cspA	NE	NE
cspB	NE	NE
cstA	NE	NE
ctaC	ES	GD
ctaD	NE	GD
ctaE	ES	GD
ctpA	NE	NE
ctpB	NE	NE
ctpC	NE	NE
ctpD	NE	NE
ctpE	NE	NE
ctpF	NE	NE
ctpG	NE	NE
ctpH	NE	NE
ctpI	NE	NE
ctpJ	NE	NE
ctpV	NE	NE
cut2	NE	NE
cut3	NE	NE
cut4	NE	NE
cya	NE	NE
cycA	NE	NE
cydA	NE	NE
cydB	NE	NE
cydC	NE	NE
cydD	NE	NE
cyp121	NE	NE
cyp123	NE	NE
cyp124	NE	NE
cyp125	NE	NE
cyp126	NE	NE
cyp128	NE	NE
cyp132	NE	NE
cyp135A1	NE	NE
cyp135B1	NE	NE
cyp136	NE	GA
cyp137	NE	NE
cyp138	NE	NE
cyp139	NE	NE
cyp140	NE	NE
cyp143	NE	NE
cyp144	NE	NE
cyp51	NE	NE
cysA1	ES	GD
cysA2	NE	GA
cysA3	NE	GA
cysD	ES	NE
cysG	NE	GD
cysH	NE	GD
cysK1	NE	NE
cysK2	NE	NE
cysM	NE	GA
cysQ	NE	NE
cysS1	ES	ES
cysT	ES	GD
cysW	ES	GD
dacB1	NE	NE
dacB2	NE	NE
dapA	NE	GD
dapB	NE	ES
dapE	NE	ES
dapF	NE	ES
dcd	NE	NE
dctA	ES	NE
ddlA	NE	ES
deaD	ES	NE
dedA	NE	NE
def	NE	ES
deoA	NE	NE
deoC	ES	GA
deoD	NE	NE
desA1	NE	ES
desA2	NE	ES
devB	NE	NE
devR	NE	NE
devS	NE	NE
dfp	ES	ES
dfrA	GD	GD
dgt	NE	NE
dhaA	ES	NE
dinF	GD	NE
dinG	NE	NE
dinP	NE	GA
dinX	NE	NE
dipZ	NE	NE
dnaA	ES	ES
dnaB	NE	ES
dnaE1	NE	ES
dnaE2	NE	NE
dnaG	NE	ES
dnaJ1	GA	NE
dnaJ2	NE	GD
dnaK	ES	ES
dnaN	NE	ES
dnaQ	ES	NE
dnaZX	ES	ES
dppA	NE	NE
dppB	NE	NE
dppC	NE	NE
dppD	NE	NE
drrA	NE	GA
drrB	NE	GA
drrC	GA	GA
dsbF	NE	NE
dut	NE	NE
dxr	ES	ES
dxs1	NE	ES
dxs2	NE	NE
echA10	NE	NE
echA11	NE	NE
echA12	NE	NE
echA13	NE	NE
echA14	NE	NE
echA16	NE	NE
echA17	NE	NE
echA18	NE	NE
echA19	NE	NE
echA2	NE	NE
echA20	ES	NE
echA21	NE	NE
echA3	NE	NE
echA4	NE	NE
echA5	NE	NE
echA6	NE	NE
echA7	NE	NE
echA8	NE	NE
echA9	NE	NE
efp	NE	ES
efpA	ES	ES
embA	ES	ES
embB	NE	ES
embC	GD	ES
embR	NE	NE
emrB	NE	NE
end	NE	NE
engA	NE	GD
eno	ES	GD
entC	NE	GD
ephB	NE	NE
ephC	NE	NE
ephD	NE	NE
ephE	GD	NE
era	GD	GD
erg3	NE	NE
esxA	NE	NE
esxB	NE	NE
esxC	NE	NE
esxD	NE	NE
esxE	NE	NE
esxF	NE	NE
esxG	ES	GD
esxH	ES	GD
esxI	NE	GA
esxJ	NE	GA
esxK	GA	GA
esxL	GA	GA
esxN	ES	NE
esxO	NE	GA
esxQ	NE	NE
esxR	NE	NE
esxS	NE	NE
esxT	NE	NE
ethA	NE	NE
ethR	NE	NE
fabD	ES	ES
fabD2	NE	NE
fabG1	ES	ES
fabG2	NE	NE
fabG3	NE	NE
fabG4	NE	NE
fabH	NE	NE
fadA2	ES	NE
fadA3	NE	NE
fadA4	NE	NE
fadA5	NE	NE
fadA6	NE	NE
fadB	NE	NE
fadB2	NE	NE
fadB4	NE	NE
fadB5	NE	NE
fadD1	NE	NE
fadD10	NE	NE
fadD11	NE	NE
fadD12	NE	NE
fadD13	NE	NE
fadD14	NE	NE
fadD15	ES	NE
fadD17	NE	NE
fadD18	NE	NE
fadD19	NE	NE
fadD2	NE	NE
fadD21	NE	NE
fadD22	NE	NE
fadD23	NE	NE
fadD24	NE	NE
fadD25	GA	NE
fadD26	GA	NE
fadD28	NE	NE
fadD29	NE	NE
fadD3	NE	NE
fadD30	GD	NE
fadD31	NE	GA
fadD32	ES	ES
fadD34	NE	NE
fadD35	NE	NE
fadD36	GA	NE
fadD4	NE	NE
fadD5	NE	NE
fadD6	GD	NE
fadD7	ES	NE
fadD8	NE	NE
fadD9	NE	NE
fadE1	NE	NE
fadE10	NE	NE
fadE12	NE	NE
fadE13	NE	NE
fadE15	NE	NE
fadE16	NE	NE
fadE17	NE	NE
fadE18	NE	NE
fadE19	NE	NE
fadE2	NE	GA
fadE20	NE	NE
fadE21	NE	NE
fadE23	NE	NE
fadE24	NE	NE
fadE25	ES	NE
fadE26	NE	NE
fadE27	NE	NE
fadE28	NE	NE
fadE29	GD	NE
fadE30	NE	NE
fadE31	NE	NE
fadE32	NE	NE
fadE33	NE	NE
fadE34	NE	NE
fadE35	NE	NE
fadE36	NE	NE
fadE4	NE	GA
fadE5	NE	NE
fadE6	NE	NE
fadE7	NE	NE
fadE8	NE	NE
fadE9	NE	NE
fadH	NE	NE
far	NE	NE
fas	NE	ES
fba	NE	GD
fbiA	NE	NE
fbiB	NE	NE
fbiC	NE	NE
fbpA	ES	NE
fbpB	NE	GA
fbpC	NE	NE
fbpD	ES	NE
fdhD	NE	NE
fdhF	NE	NE
fdxA	NE	NE
fdxB	NE	NE
fdxC	NE	ES
fdxD	NE	NE
fecB	NE	NE
ffh	NE	ES
fgd1	NE	NE
fgd2	NE	NE
fic	NE	NE
fixA	ES	GD
fixB	ES	GD
fmt	NE	NE
fmu	NE	NE
folB	ES	GD
folC	ES	ES
folD	NE	ES
folE	GD	ES
folK	GD	GD
folP1	ES	ES
folP2	GD	NE
fpg	GD	NE
fprA	NE	NE
fprB	NE	NE
frdA	NE	NE
frdD	NE	NE
frr	GD	ES
ftsE	NE	NE
ftsH	NE	NE
ftsK	NE	ES
ftsQ	ES	NE
ftsW	ES	ES
ftsX	NE	NE
ftsY	NE	ES
ftsZ	ES	ES
fucA	NE	NE
fum	NE	ES
fusA1	ES	ES
gabD1	NE	NE
gabD2	NE	NE
gabP	NE	NE
gabT	NE	NE
gadB	NE	GA
galE1	ES	ES
galE2	NE	NE
galE3	NE	NE
galK	NE	NE
galU	NE	ES
gap	ES	GD
gatA	N/A	ES
gatB	NE	ES
gatC	NE	N/A
gca	NE	NE
gcpE	NE	ES
gcvB	NE	ES
gcvH	NE	ES
gcvT	NE	ES
gdh	ES	NE
ggtA	NE	NE
ggtB	NE	NE
gid	NE	NE
glbN	NE	NE
glbO	NE	NE
glcB	NE	ES
glf	NE	ES
glgB	ES	ES
glgC	NE	NE
glgE	NE	ES
glgP	NE	NE
glmS	NE	ES
glmU	ES	ES
glnA1	GD	ES
glnA2	NE	NE
glnA3	NE	NE
glnA4	ES	NE
glnB	NE	NE
glnD	NE	NE
glnE	ES	GD
glnH	NE	NE
glnQ	NE	NE
glpD1	NE	NE
glpD2	NE	ES
glpQ1	NE	GA
glpQ2	NE	NE
gltA2	NE	GD
gltB	NE	ES
gltD	ES	ES
gltS	NE	ES
glyA1	ES	ES
glyA2	NE	NE
glyS	NE	ES
gmhA	NE	NE
gmk	ES	NE
gnd1	NE	GA
gnd2	NE	ES
gpdA1	NE	NE
gpdA2	NE	NE
gpm1	NE	NE
gpm2	NE	NE
gpsI	NE	ES
grcC1	NE	ES
grcC2	NE	NE
greA	NE	NE
groEL1	ES	NE
groEL2	NE	ES
groES	NE	ES
grpE	GA	ES
gshA	NE	NE
guaA	GD	ES
guaB1	NE	GA
guaB2	NE	ES
guaB3	NE	GD
gyrA	GD	ES
gyrB	ES	ES
hab	NE	NE
hbhA	NE	GA
helY	NE	NE
helZ	NE	NE
hemA	ES	ES
hemB	NE	ES
hemC	ES	ES
hemD	ES	GD
hemE	NE	ES
hemK	NE	GD
hemL	ES	ES
hemN	GA	NE
hemY	ES	ES
hemZ	NE	ES
hflX	NE	NE
hisA	NE	GD
hisB	ES	GD
hisC1	ES	ES
hisC2	NE	NE
hisD	ES	ES
hisE	NE	ES
hisF	ES	ES
hisG	GD	ES
hisH	ES	GD
hisI	NE	ES
hisS	ES	GD
hns	NE	NE
hpt	ES	ES
hpx	NE	NE
hrcA	NE	NE
hsdM	NE	NE
hsdS	NE	NE
hsp	NE	NE
hspR	GA	NE
hspX	NE	NE
htpG	NE	NE
htpX	NE	NE
htrA	NE	ES
hupB	ES	GD
hycD	NE	NE
hycE	GD	NE
hycP	NE	NE
hycQ	GD	NE
icd1	NE	NE
icd2	NE	NE
ideR	NE	ES
idi	NE	NE
idsA1	NE	NE
idsA2	ES	NE
idsB	NE	NE
ileS	NE	ES
ilvA	NE	ES
ilvB1	NE	ES
ilvB2	NE	NE
ilvC	ES	ES
ilvD	NE	ES
ilvE	NE	ES
ilvG	NE	NE
ilvN	ES	NE
ilvX	NE	NE
impA	ES	NE
infA	NE	NE
infB	NE	ES
infC	NE	ES
inhA	ES	ES
iniA	NE	NE
iniB	NE	NE
iniC	NE	NE
ino1	NE	ES
iscS	NE	GD
ispD	ES	GD
ispE	NE	ES
ispF	ES	GD
iunH	NE	NE
kasA	ES	ES
kasB	GD	NE
katG	NE	NE
kdpA	NE	NE
kdpB	NE	NE
kdpC	NE	NE
kdpD	NE	NE
kdpE	NE	NE
kdpF	NE	NE
kdtB	NE	NE
ksgA	ES	NE
lat	NE	GA
lepA	NE	NE
lepB	NE	ES
leuA	NE	ES
leuB	ES	ES
leuC	NE	GD
leuD	ES	GD
leuS	NE	ES
lexA	NE	ES
lgt	NE	ES
lhr	NE	NE
ligA	NE	ES
ligB	NE	NE
ligC	NE	NE
lipA	NE	ES
lipB	GD	ES
lipC	NE	NE
lipD	NE	GA
lipE	NE	NE
lipF	GA	GA
lipG	ES	GA
lipI	NE	NE
lipJ	NE	NE
lipL	NE	NE
lipM	NE	NE
lipN	NE	NE
lipO	NE	NE
lipP	NE	NE
lipQ	NE	NE
lipR	NE	NE
lipT	NE	NE
lipU	NE	NE
lipV	NE	NE
lipW	NE	NE
lldD2	NE	NE
lpdA	NE	NE
lppA	NE	NE
lppB	NE	NE
lppC	NE	NE
lppD	NE	NE
lppE	NE	GA
lppF	NE	NE
lppG	NE	NE
lppH	NE	NE
lppI	NE	NE
lppJ	NE	NE
lppK	NE	NE
lppL	ES	GD
lppM	ES	NE
lppN	NE	NE
lppP	NE	NE
lppQ	GA	NE
lppR	NE	NE
lppT	NE	NE
lppU	NE	NE
lppV	NE	NE
lppW	ES	NE
lppX	N/A	NE
lppY	NE	NE
lppZ	NE	ES
lpqA	NE	NE
lpqB	ES	GD
lpqC	NE	NE
lpqD	NE	NE
lpqE	NE	NE
lpqF	NE	NE
lpqG	ES	NE
lpqH	ES	NE
lpqI	NE	NE
lpqJ	NE	NE
lpqK	NE	NE
lpqL	NE	NE
lpqM	NE	NE
lpqN	NE	NE
lpqO	NE	NE
lpqP	NE	NE
lpqQ	NE	NE
lpqR	NE	NE
lpqS	NE	NE
lpqT	ES	NE
lpqU	ES	NE
lpqV	NE	NE
lpqW	NE	ES
lpqX	ES	NE
lpqY	NE	NE
lpqZ	NE	NE
lprA	NE	NE
lprB	GD	NE
lprC	GD	NE
lprD	NE	GD
lprE	NE	NE
lprF	NE	NE
lprG	NE	NE
lprH	NE	NE
lprI	NE	NE
lprJ	NE	NE
lprK	NE	NE
lprL	NE	NE
lprN	NE	NE
lprO	GD	NE
lprP	NE	NE
lprQ	GA	GA
lspA	NE	GD
lsr2	ES	GD
ltp1	NE	NE
ltp2	NE	NE
lysA	ES	ES
lysS	NE	ES
lysX	NE	NE
lytB2	NE	ES
malQ	ES	GA
manA	ES	ES
manB	NE	ES
mapA	NE	NE
mapB	NE	NE
mas	GA	NE
mbtA	NE	NE
mbtB	NE	NE
mbtC	NE	NE
mbtD	GD	NE
mbtE	NE	NE
mbtF	NE	NE
mbtG	NE	NE
mbtI	GA	GD
mbtJ	GD	NE
mca	NE	NE
mce1A	NE	NE
mce1B	NE	NE
mce1C	NE	NE
mce1D	NE	NE
mce1F	NE	NE
mce2A	NE	NE
mce2C	NE	NE
