#HMM - Genes
#genes: ES=998, GD=385, NE=6742, GA=115, N/A=52
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
-	 LT708304.1	NA	73536	10029	3327	58741	1439	0.4648	1053.77	NE
-	 LT708304.1	NA	73536	10029	3327	58741	1439	0.4648	1053.77	NE
Mb0059	 dnaB	NA	21	0	0	21	0	0.8571	677.83	NE
Mb0001	 dnaA	NA	31	31	0	0	0	0.0000	0.00	ES
Mb0001	 dnaA	NA	31	31	0	0	0	0.0000	0.00	ES
Mb0002	 dnaN	NA	35	0	0	35	0	0.2571	674.11	NE
Mb0002	 dnaN	NA	35	0	0	35	0	0.2571	674.11	NE
Mb0003	 recF	NA	9	0	0	9	0	0.0000	0.00	NE
Mb0003	 recF	NA	9	0	0	9	0	0.0000	0.00	NE
Mb0004	 -	NA	44	42	0	2	0	0.0682	473.33	ES
Mb0004	 -	NA	44	42	0	2	0	0.0682	473.33	ES
Mb0005	 gyrB	NA	47	33	13	1	0	0.0638	172.33	ES
Mb0005	 gyrB	NA	47	33	13	1	0	0.0638	172.33	ES
Mb0006	 gyrA	NA	11	0	11	0	0	0.0909	18.00	GD
Mb0006	 gyrA	NA	11	0	11	0	0	0.0909	18.00	GD
Mb0007	 -	NA	5	0	5	0	0	0.0000	0.00	GD
Mb0007	 -	NA	5	0	5	0	0	0.0000	0.00	GD
ileT	 len: 74 nt. Equivalent to ileT	NA	3	0	3	0	0	0.0000	0.00	GD
ileT	 len: 74 nt. Equivalent to ileT	NA	3	0	3	0	0	0.0000	0.00	GD
alaT	 len: 73 nt. Equivalent to alaT	NA	4	0	0	4	0	0.5000	454.00	NE
alaT	 len: 73 nt. Equivalent to alaT	NA	4	0	0	4	0	0.5000	454.00	NE
Mb0008c	 -	NA	7	0	0	7	0	0.7143	696.00	NE
Mb0008c	 -	NA	7	0	0	7	0	0.7143	696.00	NE
Mb0009	 ppiA	NA	7	0	0h	7	0	0.4286	285.33	NE
Mb0009	 ppiA	NA	7	0	0	7	0	0.4286	285.33	NE
Mb0010c	 -	NA	3	0	0	3	0	0.3333	17.00	NE
Mb0010c	 -	NA	3	0	0	3	0	0.3333	17.00	NE
Mb0011c	 -	NA	16	0	0	16	0	0.6875	482.27	NE
Mb0011c	 -	NA	16	0	0	16	0	0.6875	482.27	NE
Mb0012	 -	NA	15	0	15	0	0	0.0667	17.00	GD
Mb0012	 -	NA	15	0	15	0	0	0.0667	17.00	GD
Mb0013	 trpG	NA	25	24	1	0	0	0.0400	17.00	ES
Mb0013	 trpG	NA	25	24	1	0	0	0.0400	17.00	ES
Mb0014c	 pknB	NA	16	16	0	0	0	0.0000	0.00	ES
Mb0014c	 pknB	NA	16	16	0	0	0	0.0000	0.00	ES
Mb0015c	 pknA	NA	37	19	0	18	0	0.2162	247.88	ES
Mb0015c	 pknA	NA	37	19	0	18	0	0.2162	247.88	ES
Mb0016c	 pbpA	NA	27	0	0	27	0	0.5185	2944.71	NE
Mb0016c	 pbpA	NA	27	0	0	27	0	0.5185	2944.71	NE
Mb0017c	 rodA	NA	25	14	0	11	0	0.2400	449.83	ES
Mb0017c	 rodA	NA	25	14	0	11	0	0.2400	449.83	ES
Mb0018c	 ppp	NA	14	0	0	14	0	0.7857	143.55	NE
Mb0018c	 ppp	NA	14	0	0	14	0	0.7857	143.55	NE
Mb0019c	 -	NA	49	43	0	0	6	0.0816	801.25	ES
Mb0019c	 -	NA	49	43	0	0	6	0.0816	801.25	ES
Mb0020c	 TB39.8	NA	0	0	0	0	0	0.0000	0.00	N/A
Mb0020c	 TB39.8	NA	0	0	0	0	0	0.0000	0.00	N/A
leuT	 len: 83 nt. Equivalent to leuT	NA	23	0	0	23	0	0.6522	680.33	NE
leuT	 len: 83 nt. Equivalent to leuT	NA	23	0	0	23	0	0.6522	680.33	NE
Mb0021c	 -	NA	8	0	0	8	0	0.7500	2009.67	NE
Mb0021c	 -	NA	8	0	0	8	0	0.7500	2009.67	NE
Mb0022c	 whiB5	NA	12	12	0	0	0	0.0000	0.00	ES
Mb0022c	 whiB5	NA	12	12	0	0	0	0.0000	0.00	ES
Mb0023	 -	NA	12	1	0	11	0	0.5833	564.29	NE
Mb0023	 -	NA	12	1	0	11	0	0.5833	564.29	NE
Mb0024	 -	NA	3	0	0	3	0	1.0000	3951.67	NE
Mb0024	 -	NA	3	0	0	3	0	1.0000	3951.67	NE
Mb0025	 -	NA	8	0	0	8	0	0.6250	746.00	NE
Mb0025	 -	NA	8	0	0	8	0	0.6250	746.00	NE
Mb0026	 -	NA	17	0	0	17	0	0.6471	671.27	NE
Mb0026	 -	NA	17	0	0	17	0	0.6471	671.27	NE
Mb0027	 -	NA	5	0	0	5	0	1.0000	442.40	NE
Mb0027	 -	NA	5	0	0	5	0	1.0000	442.40	NE
Mb0028	 -	NA	5	0	0	5	0	0.6000	1209.00	NE
Mb0028	 -	NA	5	0	0	5	0	0.6000	1209.00	NE
Mb0029	 -	NA	20	0	0	20	0	0.5500	605.82	NE
Mb0029	 -	NA	20	0	0	20	0	0.5500	605.82	NE
Mb0030	 -	NA	5	0	0	5	0	0.4000	186.50	NE
Mb0030	 -	NA	5	0	0	5	0	0.4000	186.50	NE
Mb0031	 -	NA	1	0	0	1	0	0.0000	0.00	NE
Mb0031	 -	NA	1	0	0	1	0	0.0000	0.00	NE
Mb0032	 -	NA	57	0	0	57	0	0.5965	1128.26	NE
Mb0032	 -	NA	57	0	0	57	0	0.5965	1128.26	NE
Mb0033	 bioF2	NA	3	0	0	3	0	1.0000	3822.00	NE
Mb0033	 bioF2	NA	3	0	0	3	0	1.0000	3822.00	NE
Mb0034	 acpA	NA	5	0	0	5	0	0.4000	1150.00	NE
Mb0034	 acpA	NA	5	0	0	5	0	0.4000	1150.00	NE
Mb0035	 -	NA	25	0	0	25	0	0.5600	3946.29	NE
Mb0035	 -	NA	25	0	0	25	0	0.5600	3946.29	NE
Mb0036	 fadD34	NA	4	0	0	4	0	0.7500	267.33	NE
