locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
BQ2027_MB0001,dnaA,0,1,1524,1,2,0.00145772594752187,1524,2,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA
BQ2027_MB0002,dnaN,0,2052,3260,1,0,0,1209,0,DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)
BQ2027_MB0003,recF,0,3280,4437,1,388,0.0115052732502397,1158,12,DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)
BQ2027_MB0004,BQ2027_MB0004,0,4434,4997,1,0,0,564,0,Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives
BQ2027_MB0005,gyrB,0,5123,7267,1,288,0.00414293112377007,2145,8,DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
BQ2027_MB0006,gyrA,0,7302,9818,1,3,0.00132391879964696,2517,3,DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
BQ2027_MB0007,BQ2027_MB0007,0,9914,10828,1,148,0.00485436893203883,915,4,POSSIBLE CONSERVED MEMBRANE PROTEIN
BQ2027_MB0008C,BQ2027_MB0008C,0,11874,12311,-1,65,0.010126582278481,438,4,POSSIBLE MEMBRANE PROTEIN
BQ2027_MB0009,ppiA,0,12468,13016,1,266,0.0282828282828283,549,14,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)
BQ2027_MB0010C,BQ2027_MB0010C,0,13222,13557,-1,69,0.0165016501650165,336,5,PROBABLE CONSERVED MEMBRANE PROTEIN
BQ2027_MB0011C,BQ2027_MB0011C,0,13713,13994,-1,1,0.00393700787401575,282,1,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
BQ2027_MB0012,BQ2027_MB0012,0,14088,14876,1,325,0.0225035161744023,789,16,PROBABLE CONSERVED MEMBRANE PROTEIN
BQ2027_MB0013,trpG,0,14913,15611,1,9,0.00476190476190476,699,3,POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)
BQ2027_MB0014C,pknB,0,15589,17469,-1,1,0.000590667454223272,1881,1,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)
BQ2027_MB0015C,pknA,0,17466,18761,-1,0,0,1296,0,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)
BQ2027_MB0016C,pbpA,0,18758,20233,-1,149,0.0090293453724605,1476,12,PROBABLE PENICILLIN-BINDING PROTEIN PBPA
BQ2027_MB0017C,rodA,0,20230,21639,-1,2851,0.0212765957446809,1410,27,PROBABLE CELL DIVISION PROTEIN RODA
BQ2027_MB0018C,pstp,0,21636,23180,-1,175,0.00790797987059669,1545,11,phosphoserine/threonine phosphatase pstp
BQ2027_MB0019C,fhaB,0,23269,23736,-1,91,0.033175355450237,468,14,FHA-domain-containing protein
BQ2027_MB0020C,fhaA,0,23860,25425,-1,224,0.0049645390070922,1566,7,FIG00824290: FHA domain protein
BQ2027_MB0021C,BQ2027_MB0021C,0,25894,26862,-1,656,0.0286368843069874,969,25,putative oxidoreductase, nitronate monooxygenase family
BQ2027_MB0022C,whiB5,0,27004,27423,-1,788,0.0238095238095238,420,9,probable transcriptional regulatory protein whib-like whib5
BQ2027_MB0023,BQ2027_MB0023,0,27576,28346,1,215,0.00720461095100865,771,5,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN
BQ2027_MB0024,BQ2027_MB0024,0,28343,29176,1,269,0.0199733688415446,834,15,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART]
BQ2027_MB0025,BQ2027_MB0025,0,28918,29187,1,53,0.0205761316872428,270,5,pseudogene
BQ2027_MB0026,BQ2027_MB0026,0,29225,29587,1,902,0.0214067278287462,363,7,CONSERVED HYPOTHETICAL PROTEIN
BQ2027_MB0027,BQ2027_MB0027,0,29702,31135,1,599,0.0131680867544539,1434,17,CONSERVED HYPOTHETICAL PROTEIN
BQ2027_MB0028,BQ2027_MB0028,0,31173,31490,1,330,0.0522648083623693,318,15,conserved hypothetical protein
BQ2027_MB0029,BQ2027_MB0029,0,31498,31803,1,245,0.0217391304347826,306,6,conserved hypothetical protein
BQ2027_MB0030,BQ2027_MB0030,0,32041,33138,1,319,0.0141557128412538,1098,14,Vegetative cell wall protein gp1 precursor
BQ2027_MB0031,BQ2027_MB0031,0,33208,33537,1,21,0.0134680134680135,330,4,conserved hypothetical protein
BQ2027_MB0032,BQ2027_MB0032,0,33566,33778,1,4,0.0104166666666667,213,2,possible remnant of a transposase
BQ2027_MB0033,bioF2,0,34279,36594,1,2256,0.026378896882494,2316,55,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)
BQ2027_MB0034,acpA,0,36591,36854,1,104,0.0252100840336134,264,6,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)
BQ2027_MB0035,BQ2027_MB0035,0,36851,37246,1,107,0.0112044817927171,396,4,Ketosteroid isomerase-related protein
BQ2027_MB0036,fadD34,0,37243,38931,1,3977,0.0269559500328731,1689,41,PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
BQ2027_MB0037C,BQ2027_MB0037C,0,39040,39813,-1,54,0.0100430416068867,774,7,conserved protein
BQ2027_MB0038C,BQ2027_MB0038C,0,39861,41186,-1,735,0.0184254606365159,1326,22,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
BQ2027_MB0039,BQ2027_MB0039,0,41288,41896,1,237,0.0109289617486339,609,6,UPF0301 protein YqgE
BQ2027_MB0040C,BQ2027_MB0040C,0,41988,42335,-1,2432,0.0445859872611465,348,14,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
BQ2027_MB0041C,mtc28,0,42417,43349,-1,165,0.0107142857142857,933,9,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)
BQ2027_MB0042,leuS,0,43546,46455,1,15,0.0011454753722795,2910,3,PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)
BQ2027_MB0043C,BQ2027_MB0043C,0,46565,47191,-1,17,0.00884955752212389,627,5,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)
BQ2027_MB0044C,BQ2027_MB0044C,0,47350,48084,-1,454,0.0211480362537764,735,14,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)
BQ2027_MB0045C,BQ2027_MB0045C,0,48217,49011,-1,541,0.0209497206703911,795,15,POSSIBLE OXIDOREDUCTASE
BQ2027_MB0046C,BQ2027_MB0046C,0,49027,49923,-1,83,0.0111386138613861,897,9,POSSIBLE HYDROLASE
BQ2027_MB0047C,ino1,0,50005,51108,-1,0,0,1104,0,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)
BQ2027_MB0048C,BQ2027_MB0048C,0,51169,51711,-1,98,0.016359918200409,543,8,Transcriptional regulator, PadR family
BQ2027_MB0049C,BQ2027_MB0049C,0,51812,52681,-1,2441,0.033205619412516,870,26,POSSIBLE MEMBRANE PROTEIN
BQ2027_MB0050,BQ2027_MB0050,0,52815,53228,1,593,0.0402144772117962,414,15,CONSERVED HYPOTHETICAL PROTEIN
BQ2027_MB0051,ponA1,0,53221,55689,1,544,0.0116959064327485,2469,26,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)
BQ2027_MB0052,BQ2027_MB0052,0,55686,57368,1,1007,0.0250825082508251,1683,38,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
BQ2027_MB0053,BQ2027_MB0053,0,57400,57963,1,66,0.015748031496063,564,8,Intracellular protease
BQ2027_MB0054,rpsF,0,58182,58472,1,0,0,291,0,30s ribosomal protein s6 rpsf
BQ2027_MB0055,ssb,0,58576,59070,1,1,0.00224215246636771,495,1,single-strand binding protein ssb (helix-destabilizing protein)
BQ2027_MB0056,rpsR1,0,59112,59366,1,0,0,255,0,30s ribosomal protein s18-1 rpsr1
BQ2027_MB0057,rplI,0,59399,59857,1,107,0.00483091787439614,459,2,50s ribosomal protein l9 rpli
BQ2027_MB0058,BQ2027_MB0058,0,59886,60407,1,99,0.0297872340425532,522,14,HYPOTHETICAL PROTEIN
BQ2027_MB0059,dnaB,0,60386,63010,1,0,0,2625,0,PROBABLE REPLICATIVE DNA HELICASE DNAB
BQ2027_MB0060,BQ2027_MB0060,0,63190,63882,1,441,0.0352564102564103,693,22,HYPOTHETICAL PROTEIN
BQ2027_MB0061,BQ2027_MB0061,0,63899,64957,1,378,0.00524109014675052,1059,5,ADP-ribose 1-phosphate phophatase related protein
BQ2027_MB0062A,BQ2027_MB0062A,0,65002,65340,-1,96,0.0163398692810458,339,5,Hypothetical protein
BQ2027_MB0063,celA1,0,65542,66684,1,836,0.0262390670553936,1143,27,POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)
BQ2027_MB0064,BQ2027_MB0064,0,66913,68352,1,256,0.0192901234567901,1440,25,POSSIBLE OXIDOREDUCTASE
BQ2027_MB0065,BQ2027_MB0065,0,68610,71549,1,1741,0.0196523053665911,2940,52,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
BQ2027_MB0065A,vapB1,0,71616,71855,1,818,0.0416666666666667,240,9,Possible antitoxin VapB1
BQ2027_MB0066,vapc1,0,71848,72249,1,803,0.0359116022099447,402,13,possible toxin vapc1
BQ2027_MB0067C,icd2,0,72301,74538,-1,136,0.00893300248138958,2238,18,PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP)
BQ2027_MB0068C,BQ2027_MB0068C,0,74656,75225,-1,310,0.0292397660818713,570,15,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)
BQ2027_MB0069,BQ2027_MB0069,0,75328,76239,1,177,0.0121802679658952,912,10,PROBABLE OXIDOREDUCTASE
BQ2027_MB0070C,sdaA,0,76264,77649,-1,299,0.00801282051282051,1386,10,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD)
BQ2027_MB0071C,glyA2,0,77646,78923,-1,813,0.0112945264986968,1278,13,serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2)
BQ2027_MB0072,BQ2027_MB0072,0,79513,80229,1,188,0.0108359133126935,717,7,POSSIBLE MATURASE
BQ2027_MB0073,BQ2027_MB0073,0,80660,81709,1,1349,0.0306878306878307,1050,29,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER
BQ2027_MB0074,BQ2027_MB0074,0,81712,82554,1,214,0.0210803689064559,843,16,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ
BQ2027_MB0075,BQ2027_MB0075,0,82557,82703,1,165,0.037593984962406,147,5,PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ
BQ2027_MB0076,BQ2027_MB0076,0,82783,84018,1,1013,0.0224618149146451,1236,25,Xaa-Pro dipeptidase (EC
BQ2027_MB0077,BQ2027_MB0077,0,84031,85203,1,1129,0.03125,1173,33,PROBABLE AMINOTRANSFERASE
BQ2027_MB0078C,BQ2027_MB0078C,0,85218,85607,-1,285,0.0170940170940171,390,6,PROBABLE MEMBRANE PROTEIN
BQ2027_MB0079C,BQ2027_MB0079C,0,85671,86501,-1,140,0.0160427807486631,831,12,PROBABLE OXIDOREDUCTASE
BQ2027_MB0080,BQ2027_MB0080,0,86563,87168,1,124,0.0146520146520147,606,8,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
BQ2027_MB0081C,BQ2027_MB0081C,0,87243,87836,-1,204,0.0168224299065421,594,9,HYPOTHETICAL PROTEIN
BQ2027_MB0081A,BQ2027_MB0081A,0,87833,88039,-1,46,0.0106951871657754,207,2,Conserved protein
BQ2027_MB0082,BQ2027_MB0082,0,88239,89060,1,823,0.0202702702702703,822,15,Ribosome hibernation promoting factor Hpf
BQ2027_MB0083,BQ2027_MB0083,0,89057,89515,1,10,0.00483091787439614,459,2,Putative DNA-binding protein
BQ2027_MB0084,BQ2027_MB0084,0,89610,89954,1,302,0.0192926045016077,345,6,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN
BQ2027_MB0085,BQ2027_MB0085,0,89959,90438,1,170,0.0208333333333333,480,9,PROBABLE OXIDOREDUCTASE
