,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
Rv2077c/Mb2102c,Rv2077c,Mb2102c,0,possible conserved transmembrane protein,cell wall and cell processes,-,-,-,-,Identical,2619.794311,16.69357751,-7.135388802,0,-,-,-,-,-
Rv3408/Mb3442,Rv3408,Mb3442,vapc47,possible toxin vapc47. contains pin domain.,conserved hypotheticals,-,-,-,-,Variable,2695.164114,87.98233167,-4.937015478,0.003487665,-0.29746782,0.381809444,-1.120318154,0.00160544,-0.708892987
Rv3136/Mb3160,Rv3136,Mb3160,PPE51,ppe family protein ppe51,PE/PPE,-,-,-,-,Identical,651.8812631,22.65590157,-4.799498459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000066836,-3.088128403,0.0000000000650515,-2.92478964,0.000000000195828,-3.006459021
Rv3407/Mb3441,Rv3407,Mb3441,vapb47,possible antitoxin vapb47,"virulence, detoxification,adaptation",-,-,-,-,Identical,2828.675837,115.9118059,-4.210668877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000180562,-2.799534114,0.000000000000197262,-3.845985112,0,-3.322759613
Rv2478c/Mb2505c,Rv2478c,Mb2505c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,85.52952071,4.197054876,-4.055436031,0.0000000000000000000000000000000000000000000000000267979,-,-,-,-,-
Rv2159c/Mb2183c,Rv2159c,Mb2183c,0,conserved protein,Conserved hypothetical protein,-,-,-,-,Identical,166.6320672,10.26311296,-3.68642242,0.000000000000000000000000000000000000299302,-3.703683071,0.0000000000142545,-2.90254233,0.000000000564487,-3.303112701
Rv1161/Mb1193,Rv1161,Mb1193,narG,respiratory nitrate reductase alpha chain narg,intermediary metabolism and respiration,"nitrate reductase narGHIJ, or fused narX",Nitrogen metabolism,Other,MKH2 + NO3 + 0.001 MOLYBDENUM = MK + NO2 + 2 H,Variable,512.4505109,40.75255075,-3.652450418,0.000000000986,-2.071182503,0.00000000000139609,-2.203570429,0.000000000000580935,-2.137376466
3' end of Rv3798/Mb3828,Rv3798,Mb3828,0,PUTATIVE TRANSPOSASE [SECOND PART],insertion seqs and phages,-,-,-,-,Variable,165.1906982,13.53976727,-3.608857605,0.000415965,-,-,-,-,-
3' end of Rv1313c/Mb1345c,Rv1313c,Mb1345c,0,POSSIBLE TRANSPOSASE [SECOND PART],insertion seqs and phages,-,-,-,-,Variable,165.519282,14.95279163,-3.468512532,0.00050595,-,-,-,-,-
Rv0797/Mb0820,Rv0797,Mb0820,0,PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1547,insertion seqs and phages,-,-,-,-,Variable,37.82333803,3.745237864,-3.336147438,0.00015837,-,-,-,-,-
Rv3679/Mb3704,Rv3679,Mb3704,0,probable anion transporter atpase,cell wall and cell processes,-,-,-,-,Identical,692.3167954,70.251359,-3.315202822,0.00000000000000000000000000000000000000000000000000000000000000000000000000000256774,-0.255256567,0.000131021,-0.376968068,0.00000135175,-0.316112317
